"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","GTOTAL","CV_GTOTAL","CI_GTOTAL"
1980,2732740559.843797897336933240230533767633,0.1419165169585838066901142305180988480621,760129203.128785014685460894482114947981,2559050107.555484519398784723961755589638,0.1494969147957893254668347207182598437703,749837387.939260445570510586391754891152,194200282.754999473875047427125183990947,0.1644803180140215692580488875386658006319,62606563.5612722356440694946334671755696,511758841.673506069083478832390895833806,0.1737206002641177329082124292874144422073,174249984.205342484427390776576419006855,116202990.604225935610435491249362941152,0.150372449803382152345164429468039260896,34248507.60840823067974587450299499348621,77997292.15077353826461193587582104979574,0.2095308168571749056053874808337542875866,32031959.22051862023958874077007265034844,2753250390.310483993273832151086939580586,0.1419988164772814894010973374271554303848,766278261.903816010970217945255329802629,895748213.007843618974117006626716641573,0.2071683661505249832150477603856758569231,363718559.791331289210445842360618637913,4815290814.387673607491391641857285967675,0.3362336215242697089548657578796697101599,3173362831.659670316865853884243416646478,5711039027.395517226465508648484002609252,0.28851745597348160981759136963997654888,3229559524.252865894428790555646285917607,8464289417.706001219739340799570942189856,0.2229000788061118697638025003291980991503,3697913925.359036586486814082397957295297
1981,1725748046.844845164742223517933246363753,0.1524948844136956815789235194059330491201,515808787.904300857981869019051483838356,1635254996.692028594899639705358008359561,0.1598419994599822173044559392525864954364,512309559.464433696132598992652610718136,90649222.38462281707583358991806237027292,0.1015877516361365819463596845008502466163,18049347.35165123188958074330378495864223,349675758.751578980084353960268636554837,0.0990697492469574051381066641258896490237,67898887.88502666182597810631155619610921,45339195.2385241311916953019791507039574,0.1004398796623406292885861707738052724057,8925572.09493967272314444373095625514919,45310027.14609868588413828793891166631554,0.1171949206728027836548615050932070844469,10407805.87265636934351173382618857712651,1725904219.076651411975473295276070729817,0.1524805090410170099998060675398487247631,515806837.606459625935280178661450388894,240805814.989283301388630487297012554341,0.2610629021542964862182996394702398850687,123216311.236796461801896262214282353661,2675503643.661061683515340417634043708599,0.1565263875192178570345486135396669626478,820822363.468070584259048766722952469699,2916309458.650344984903970904931056262935,0.150150067484101026347586278055085563925,858252761.560908005027051867441999628374,4642213677.726996396879444200207126992808,0.1312299246967120110211338163201556658644,1194026808.654154103543115016422138791791
1982,2076694709.942907311587547869912730948487,0.1147594428872467900205382357011729296356,467107842.801483595962569362466273584165,1920492713.449534264611025508676555694806,0.1185307979162008686811859998130633576181,446169566.086149095722149927611581614158,157070489.889665826006982110622588921074,0.1413184200712578477821189148022788873321,43506028.80321106568108766145421672112102,660342775.459074971074114980626064320006,0.1238872878639490810724289174276437888589,160343828.003867923023454908502017895629,70615831.86735234711041836131418260587595,0.138004032551164337435766826751082304357,19100728.33691329684911025482464654640302,86454658.02231347889656374930840631519781,0.1517956322728466727961926469566745545244,25721941.37576242842387317067250729131344,2077563203.33920009061800761929914461588,0.1147001169183404156108927041246204746049,467061614.96336626297288858833727958401,80335637.34194033019663160595067259998317,0.2787837890189248473137276139776721364493,43896695.80801525292796356721781954445364,3712126520.119541670833200601649731811385,0.1592647131068037311823758764071138807178,1158773099.87627312601854797283448475984,3792462157.46148200102983220760040441137,0.1561124237963337910721079010396250289123,1160418900.732083093332907451613409596486,5870025360.800682091647839826899549027258,0.1165768068234409304945618368286257164731,1341245272.568130121340584582350429547052
1983,2496356151.966924322326207865873553213541,0.0982391603670567329731065952575033817699,480670267.398879960306894666081125346047,2317558964.465840893756066038378039952811,0.1094223703903384958430476635681804827099,497041879.006011926715553885442967452881,240339007.668667426105910323531384248265,0.1070681167035582203302104990591955494119,50435984.04611306578784998500618118519817,843008074.671542877094239035523813408099,0.0898817562219024499530918088102729406495,148511250.67101699007985834721491319396,107502094.76034612483879039746372782641,0.1154839254078878130125060733855411062766,24332937.22929117839472918178538110759192,132836912.908321301267119926067656421855,0.1080763190826283593694208800193730977927,28138788.18744485189960504262307853351338,2557897972.134508319861976361909424201047,0.1011545889087137783193764664754753308157,507136510.969729648964380037179437657976,200449728.56431607571050073407749684853,0.3733639227991454250722242687897675332602,146687766.082362047115565118347768590391,3206189920.127769366108388160415936379438,0.1611351203868420550404660176240420140851,1012594405.575220554197207803953045777135,3406639648.69208544181888889449343322799,0.1549049966981056024108438963225408849015,1034302786.923274924497195601373423939683,5964537620.826593761680865256402857429019,0.1098381357673257076718532970035805694413,1284062038.251919605322765148247275452829
1984,2429711284.046070873287887166456875924088,0.133808736579907966358083956174962089043,637228530.457415252223447803048061197214,2183129121.645131784209236102105600422895,0.1657084732177555125835440775147055502665,709055467.426667496059353058666879568464,384375382.410628855792495534849488145844,0.0999557766253357434770446300165131753961,75304258.13444905398699965277693218168826,827577798.16034401551227551780599945801,0.0821306122490855219446690049321423888343,133220163.643451984821133818749384985476,227084819.4899919429251799859128436773,0.1093046513022250876429775549590390900425,48649996.94034930170252248931022964713634,157290562.920636912867315548936644468544,0.0999379416445797354324633941895697979423,30809818.39287518947136806839178845042165,2567504504.055760640001731636955088568731,0.1413635799210319982093632749830840424643,711385191.187124441103185942039133791715,980785639.760643206510581492248271864339,0.2519865460191229186020922551796281253203,484403780.06694285531233140407802119441,1399609435.622159654707564213842731683047,0.1493719621357262033760714342382509854052,409762318.940214372286177078436129905692,2380395075.382802861218145706091003547377,0.1378728477464278382352093338041138863082,643256021.697015599336046063480087964742,4947899579.438563501219877343046092116146,0.1273939895493220465095657329721602705485,1235452027.935618963192386986944023723348
1985,919042064.840311396082906991128362846367,0.0886851352061089240440097761715553980363,159750524.769710499848582544798704701554,745059821.077059403594241276194764083793,0.1070460360355020374034642185161547805335,156321172.893014418600888252508927519712,183730008.118292271977158506012800337039,0.0833975822411863170631757670832317771048,30032371.38594945451067056542846879914981,354550328.151869779274247838756368297862,0.0786482525632919209942250637251542174614,54654136.95957711684647624565016510303385,126150992.722020769020005940033570609132,0.087176173378715223906458085063504813172,21554827.1943265728518693507369565823374,57579015.39627150295715256597922972790676,0.0882758706869803033022461791135612157079,9962361.92611362583543000951164737721274,928789829.195351675571399782207564420829,0.0885687355972775280183056255746030048698,161233011.982589571671033145727541738775,269158327.651516339440380921695223671253,0.1613304534215879893407772983281575822127,85109932.68274233168158477592295388913448,197861733.832620657945537301836507455559,0.1512167457920276532624923991494854330676,58643214.71359698144707470869762798111084,467020061.484136997385918223531731126814,0.1264141842917719179600453701400523480044,115714401.836004279206240061856479090847,1395809890.679488672957318005739295547634,0.0956036008605593000048578288592925861464,261551125.26485578168360269404038516995
1986,2103295692.507531479365477965166288852032,0.1513301439543449568224309530151473510028,623852398.254408072232557561077007882636,1923958153.951481344222880180006459699137,0.1655725479441766104487060481405699215723,624367121.227933491296889837299231631264,186267719.001675752328209858662045078349,0.096639423572728448569280175486458548097,35281577.78927664882249668070363522096348,374659715.922442868285029002526064455634,0.0803769881209366957863138652208191777849,59023478.2907397465877519816877461879926,128089304.730817595929369584102378309715,0.1022630836792969773568988562326659969816,25673662.28469671721132233577110168374804,58178414.27085815639884027455966676863312,0.0979226902005113732992025335931232237963,11166094.20052441592867629491281392684135,2110225872.953157096551090038668504777491,0.1508711301917081905881551034727424915306,624009438.327964590838270075565946448872,1171334793.298174591383395846241640873802,0.2249761757572704719303384563102405237628,516503947.762206163291478612322936535817,496031394.022858115177128795718369720886,0.1443966798539890600586114136789745188451,140385561.344483229887403624111311328274,1667366187.321032706560524641960010594676,0.1725166674376030365201275693398725692603,563790977.748142787069105673068172081921,3782194086.604019878926400296844237496872,0.1475639721469988453367542341874930365183,1093906542.386351483020393802764420252736
1987,7460634186.092212694086974991775740775369,0.1298807428789310786897892080944027503418,1899225712.457707599322691509098285214517,7053266106.16439374461920176689386363168,0.1372686196827591945002499995664709245032,1897656521.190816963012192245957354478096,411474788.230641996781270064617999233962,0.0946921838547949801979438871618013851854,76368354.74554761198355394337663557422293,930079491.43856268723785575727686520024,0.0811628570175434197054217336344819318999,147956301.20601202259316608544335605406,251536837.786522339212147435187630809852,0.0959253521399620934261116093273368488587,47292369.09205557012494214923844688749264,159937950.444119657569122629430368424111,0.1016571465660430238318139468716088187447,31867317.91274998001302014695549216183332,7464740894.395035741400471831511862865638,0.1298085182742065927671764497563409670338,1899214431.41249871487258534353855338527,5302659278.221557008012993927046899343772,0.1642413063070435786105534787725342807809,1706994746.042295788122731674282999783543,3994382249.204032987811680023308038680798,0.1326406066422916005115843531994867192421,1038441878.003423277245558676078963133908,9297041527.42558999582467395035493802459,0.1127716598765485608449394749034065597327,2054947897.778412861572441103334782627419,16761782421.8206257372251457818668008903,0.1121501547862224065517009625705227537699,3684479526.476323499148509816496330676076
1988,6848346686.254225349726618062258478789201,0.0897013010349099649389601182139876551796,1204038991.08243201171628724681764585724,6351418378.719953957793205046526852343699,0.09664123435498049414433262290169825762,1203065467.567834437979459960911433797856,499365611.753786711300273487984697273611,0.1320110247532441036946836357590912924742,129206661.622930123664429046300307254959,1180617860.082856124138391755930029014239,0.0969771925970795731059695960163799936439,224406290.97758188103065946842787630341,325554151.747820972572434933035394486974,0.1524806490941094545166730982608601492498,97295788.41262830174575218639643311122682,173811460.005965738727838554949302786637,0.1067097422814115098755368352948938009895,36352857.16147323695549723262777983689498,6850783990.473740669093478534511549617336,0.0896682977622253419188882163086660931372,1204024351.97447200839434852999232771058,1684518068.836468826635352406657254508657,0.1455113809888944872129419892306017922246,480428438.974394802140385440671652775672,5470222310.275607876924653350137753974655,0.1255012525861846057563977493995265691408,1345578713.654383469449174211820163207553,7154740379.112076703560005756795008483317,0.1010689377646963370637535143463650962082,1417319139.794115179407203812920214942333,14005524369.5858173726534842913065581005,0.0806970874556211428968528214054275545729,2215201848.832027762109985979645421061287
1989,6025340223.540870400190561155152636674242,0.0719791364216888607161629969597946066561,850049620.437181630116386230242734401511,5517912685.210816933508799671852175978735,0.0770468926861364550586357470070286548928,833270531.957461362976444861591031369511,508692574.060055832301812389182075891999,0.0949082023331217936510844877530833286258,94627031.57872671063245287677191113933586,1479610127.98973773654633282084925261554,0.0871860767718588513274549609066808096633,252842748.33421302362959930769652372273,277361321.986164158578881952376873221415,0.089367631777406587693507298211054751505,48582764.00540628004494501308820568382565,231331252.073891673722930436805202670586,0.1102728875107678407718498609217822377369,49998747.66983189917057869566891459079263,6026605259.270872765810612061034251870721,0.0719557823613785289211621145801709417657,849952228.971506919633694414908262458476,1021441242.551038128667365243488997978991,0.1737734093050737267645600067531450431883,347898681.160893091741410441353459422349,9158960915.882602348842469400677465909116,0.2657346654577888250318412488847208773407,4770352693.249131882556946935848174326662,10180402158.433640477509834644166463888,0.2389859083865328603838745191097576615446,4768626408.844027451104702473794057049361,16207067140.4225652198773112833122406609,0.1534334612073224629635787450587506989533,4873944558.454012671858886718186958663266
