"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","GTOTAL","CV_GTOTAL","CI_GTOTAL"
1980,2741280374.093309765766111156606254185663,0.1468469832976562033850978334483132786861,788995556.48499909598161536931713883182,2567047139.141595408521905926224136075862,0.1553500906445778226140492854923298114532,781630371.278920008907838511221229367512,194807158.638608847230906950334950190919,0.1703345150315874784818683543953380815207,65037470.46712237179081733652050245484311,513358088.05373577554936470374211738329,0.1777501630259239324872198276903300937705,178848988.330767168667436405328475212142,116566124.949864141659218102159517200343,0.1580718274953185299094307516286732222993,36114607.97395043304567967601487505429537,78241033.68874470557168884817543299057631,0.2131196040367491240657706309620723163868,32682408.31357559191068960976612694786391,2761854297.780204255752812876559086266791,0.1468200920996158329548053195707378848409,794771576.636986425923942842873109824171,898547426.173493130283411122272425131082,0.2111296396957563381137470782574498543507,371831588.901615292730568525248939282727,4830338598.182635087514802240738089986316,0.340065767089668212179916329590988962536,3219560289.35986844954144641465056983696,5728886024.356128217798213363010515117386,0.2915572535451311209318394474706365813392,3273784619.263341478208274946906198011863,8490740322.136332473551026239569601384215,0.2256850687507441089588975081839145749212,3755817294.158264619130885951330421179874
1981,1655075476.743356554271050610126035915763,0.162601980864601335644199801701827725421,527472359.95783262289524553365975694974,1575406457.960694055915492459718370248699,0.1696560401541357934617997403401803363775,523863353.73009413305752107705333782483,79791045.85831378610864812337187737341818,0.1129495154898774815021479124866020933005,17664225.54144918940254623318373746669536,318814359.981617727202482073553648814459,0.1135583763866240032945096081712196306157,70959920.53297623891087787030094204330315,40286140.88222418406552926298020008922472,0.1114266667822837324938718325917236560838,8798342.77621435501814059544476858185428,39504904.97608960204311886039167728419335,0.1303729762154509551854399722762242889726,10094729.19220910435434623785817297382092,1655197503.819007842024140583090247622093,0.1625889460218707613231232108231949058496,527468962.503769223124224952873637900057,233325147.266834729874948556082726872512,0.2698737564183101436721721765142123554369,123417934.561121953369911562675170326902,2047836164.189676681126633473983973917208,0.1778634568929355015688661386220565552739,713901029.853764095001555127307333613245,2281161311.45651141100158203006670078971,0.1703361920377798789886125318020293752855,761586089.1861238462835805818382648041,3936358815.275519253025722613156948411839,0.1470114989424129215562359585299813054318,1134232419.225316167844692769255769524698
1982,1923432512.285895373953887329425684927765,0.1254167985330490991387739071237135143938,472812265.855142187533367331531947294295,1778983434.911877336882836046286912225813,0.1295016232871509797508277673899986274648,451547235.539198034261419749198724343377,145270336.922022207806732174346058159115,0.1543568761633890787196629415142361663472,43950011.79671332462472229984320069065398,591121370.116026026305560020205859103292,0.1374225572141633308244461977675773400081,159217484.198357041327674706631881436436,65044609.66982739355470828121649309856387,0.1497215829948866014761178720704819512787,19087620.57310008874985736332091232286707,80225727.25219481425202389312956506055015,0.1657957639341698166239049524620589985617,26070128.04442589171574924608109235317146,1924253771.83389954468956822063297038493,0.1253559313819170892336767442066057386821,472784582.615474690370696248988656237844,79852731.08891322385551156555830948219178,0.2845367191348402424157551123094725821002,44533226.87127221411393195127919147736645,2317236981.574146522849044003636801700026,0.169711029746126049911388281438544571292,770790921.645156511041579705153791971346,2397089712.663059746704555569195111182215,0.1644952902518428800227010379929151985421,772847537.366664657973438696133697881565,4321343484.496959291394123789828081567138,0.1148334082886356192989762330241968723712,972619817.39292232168207898044556338155
1983,1507556725.758732930513434323835815019463,0.1365859427478548210298642807935072524115,403585671.00190650405551621124145876342,1485994316.548376877537191122152835250457,0.1832562279285927476020777097768851180206,533742717.821006199557421766545120743953,150305795.451204838043942111383833314297,0.1398249968861481646566247109529072891315,41192354.46663208932398758084898469455427,511713214.215841305664384759793549737096,0.1236095822960130353581032285180936162812,123975207.062557951355006980338808169862,65569136.73100397678984827302744184302289,0.1439418683457175537017056869447173508859,18498762.33187799386772811799170474184597,84736658.72020086125409383835639147127517,0.147082803907128968891795872459435476289,24428078.50224568196697773387119438599231,1636300111.999581715581133233536668564765,0.1688200909658303992117806883163010061002,541431054.160128996955613598983915605681,240477606.495914851841936964408331630019,0.6687373175306516414967916780987825286457,315200045.008768623978552119197502984465,1466001017.390100711045225003077866865697,0.2126336029869506514445487472725523758466,610973313.487977128429123481182919847204,1706478623.886015562887161967486198495725,0.206943392786822968169570571081061643586,692163173.244515281508652143980860599584,3342778735.885597278468295201022867060479,0.1637412865861723471605417302530560121781,1072807746.334140749617539540392890790991
1984,1389083911.07450390132010268693401468208,0.1817381730529074880929772490368758787442,494801161.543100782929512333648077346654,1223644321.689964064243099747674603029396,0.2260609071837154343628899008860185470434,542171565.045613378561307574127837522931,237627512.828256132582195018405849330678,0.1347652641804981519156270067901403839347,62766911.70399511650265676051904137728195,476087692.084226380260107503948733932861,0.1139222000217489164907970123414623577478,106304436.279603610149620115268456358247,148290657.262695115836124903803405582746,0.1489367340705139982787313100425356573211,43288415.3243164851730611712371578454413,89336855.56556101674607011460244374793185,0.1343526275124020734313544859608217065301,23525176.90670100337434257853822264460564,1461271834.51822019682529476608045236007,0.190989969306990006082802959898066009247,547012995.134655555200659448302700738796,551857397.494181215574235936951484169491,0.3315949264201213576048920128376003199627,358666501.708306061911034043485781100224,670017943.514584998226752605204445773979,0.2085100888778902581376514261498192925859,273822781.865934450399130115745051716079,1221875341.008766213800988542155929943471,0.193604442488582893486154423361567781754,463658568.605636607460841936452548208843,2683147175.526986410626283308236382303544,0.177865296677724200425535438273161733959,935387986.074006129421280874528683220537
1985,542937009.857263184410649507465852231052,0.1301479947542172249228722013527214228895,138497839.697116010340587898428402827862,444588146.19500952625706835321943729819,0.1557097793807759111045113071040314670745,135684375.432292838113304340136861451416,105898640.197471524189168067711222621987,0.1124621249817163247352546468938956745582,23342788.77419242774234996703619009745674,195940215.428149278271008401250139667082,0.1115655320059457645792229504997429459152,42845941.77617814894058782958915148223956,73819338.86801445515442230137978641033435,0.1159037684777077778093852301137116636297,16769641.5402181726272889926529135430245,32079301.32945706903474576633143621165373,0.1218206533564676628513896541085444352327,7659526.0364599852379478607758152502586,550486786.392481050446236420930659920179,0.1297737911822123773058819720991180543066,140019964.241095372238794323864216480262,213006037.210636897009979641104199169251,0.2590234247615975497723839327666201461464,108140164.376263090448788910568316922194,103423988.989319732563400345615733148033,0.2203199552734523463300364643544672737392,44661282.51152474477324660307365255564162,316430026.199956629573379986719932317285,0.2003066132383664357957135163627373145204,124230732.67508010665190388424126683952,866916812.59243768001961640765059223746,0.150322297465114863775842608550363071865,255421176.880858118084285379381813615669
1986,1245940598.398232237931973780393467483213,0.2049413679349900777439012315288611183309,500475750.378888691484352126183083490159,1143066051.314263198494990445067817649645,0.2230807632960594913452984726314268753137,499792252.560997140025354549755675029716,110574369.916260177221672489627569001906,0.1247585839784883155011230842181906278352,27038399.55752970755986986707453871783173,211178664.052051516075938626502072845509,0.1104518239538460506695357337721722518213,45717134.50438375940314967616258864966712,78151313.02652376542651445250532619394178,0.1306991299896217575245082115305688173361,20020044.89542196958683630066396507897328,32423056.88973641179515803712224280796405,0.1297098395622437565008600460011584848485,8242955.43427901557745571784498626408555,1253640421.23052337571666293469538665156,0.2038392349640132315816286235907777870884,500860564.591842625032460732673709249894,842125457.835706456405164327673579798595,0.2974500325237210960026367815642035029963,490960879.851677431741531968457181755007,267415127.14853167843639793633246016872,0.2107996132161613270488426663288646070581,110487170.527279716976389673998400405915,1109540584.984238134841562264006039967314,0.2433317402465159272677861808280726277857,529173425.179969849585007365891852048213,2365482019.37967654846561800680928768122,0.1978380480080009776304458270247322413679,917245396.811715113966503996827635043505
1987,3971080860.956318981020444284046826274499,0.1807320699512361838689263523098751894343,1406695261.330970398066639421210165721987,3758580280.976556778556654109751304996044,0.1905246194164676743575230642225207901363,1403560072.055425288674623123563286012816,215722534.807808185532828033593594614058,0.1155264196206632276155499989027014243541,48846438.07256635616796588635755014469128,493270055.872044026147598835423762490089,0.1067013899687319738489979465981899678504,103159897.159342310300278375630086785022,130818332.258213841310889466899560291075,0.1108275928539030588867338514063717156812,28416630.4960662752015195469594102838907,84904202.54959434422193856669403432298182,0.1323905086639176410450721284220090441582,22031400.70396037306213761497681740036931,3974302815.784364964089482143344899610112,0.1805821470630422182498448887852509735821,1406668745.683948560310994910954073800184,2955461594.040764432821568804210473029011,0.2099165428381519269074738184262609106196,1215984549.41146297717275991741661991403,2040222657.062244864283169756478776777039,0.1920623714214978748411899143514818630887,768026003.416758548447906401201858208897,4995684251.103009297104738560689249806063,0.1549896463492838714430808013243737074744,1517587497.288239214201899919550455924876,8969987066.887374261194220704034149416188,0.1563311802319367170542806685110473134892,2748485783.070154535427975857669350171001
1988,3953294156.635058179960779175855296398254,0.1293170539908161763254396456462676966398,1002007573.634501684146530337305521199106,3677862138.047240452809920481383887352759,0.1375759538056962838196902948619854479578,991731367.551104781828906349440364441881,276915042.506260927537582887827142949097,0.1745794443271178461077698434014970949695,94753601.52326397295553322845221359517259,683764423.246934057954106354890566306608,0.1360103378866167323276028460060004037597,182278099.27169970355795321238130093224,178454136.268309505360975185371207370206,0.200569646283525424438096841032402118912,70153266.65876709114430894481605281961963,98460906.23795142217660770245593557888991,0.1490139038452361730283366576411454216978,28757206.26872753913983381856979777472311,3954777180.553501380347503369211030301862,0.1292658941696909254959793826921068024671,1001986904.632829638492341012825362520664,1045774453.317906298321461872655539537553,0.2250403305734753599521451200582531302469,461269200.212715934284025274787775370787,2795615538.411622679895697439792657185315,0.1780177290013250325798502819080066404122,975431493.44535309196415192066514064074,3841389991.729528978217159312448196722865,0.1453941099179924207111419495566359156031,1094690338.242982299074579967422322883684,7796167172.283030358564662681659227024701,0.1187193448649176661355626427701032528388,1814089483.935605361431033776488453138208
1989,3402481519.899570307547906064729113598228,0.1058275968260876744989524571425453604507,705749827.292445637425334722029147209509,3110966324.905216696323321377028550092555,0.1134030687791440982164262137008624329421,691474531.101141771360953905208778250498,292347493.263300348275260218544502165194,0.1057840546310041830838583412047284885375,60614378.26926009918984743762765949692831,882466949.077775879626462562251633814828,0.1140757539406863426999723495556904315222,197309441.785817709993795537737331945657,161957045.0943518733215259797902641999,0.1027218153451703700950253958129008897293,32607582.49286162998706470588402138349958,130390448.168948474953734238754237965294,0.1197924570713333182195262266183132127682,30614792.64298971761614073517102971953364,3403313818.168517044598581595573052257721,0.1057959847336974718930418582105183672743,705711596.031838642685831644058080189717,564736098.155745614696358893768954188658,0.2368086784059757357700782360964551225121,262119441.742722639767078376757276588356,4625911104.677507128338950482773360027312,0.3769547999527856684796744263495192994734,3417768414.323635748620296821170694710319,5190647202.833252743035309376542314215979,0.3366641614625522328043644618552555553168,3425109580.460006649570154659506121430788,8594021135.344202432889489088444016129294,0.2114271018439542059427667657726620100218,3561337604.389766735728376295091059359295
