"SURVEY_YEAR","BIOMASS_MALE_GE25","CV_BIOMASS_MALE_GE25","CI_BIOMASS_MALE_GE25","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE95","CV_BIOMASS_MALE_GE95","CI_BIOMASS_MALE_GE95","BIOMASS_MALE_GE78","CV_BIOMASS_MALE_GE78","CI_BIOMASS_MALE_GE78","BIOMASS_MALE_GE102","CV_BIOMASS_MALE_GE102","CI_BIOMASS_MALE_GE102","BIOMASS_MALE_95TO101","CV_BIOMASS_MALE_95TO101","CI_BIOMASS_MALE_95TO101","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL","GTOTAL_MT","CV_GTOTAL_MT","CI_GTOTAL_MT"
1980,334928.2681178844610082882661299075442464,0.1265970542868620660789479653288656771015,83105.8269966040444148719813196330805719,236076.2309891525549335591610538253154588,0.1409948806045676743115198956918544587458,65239.6584037081312792277400479379748588,98930.9872240318362485013695258287853425,0.1524015211149123675247281762404487368108,29551.3765591511305779266864745398395953,180273.6071819680419355857712940071671659,0.162550265096164192012102805291348903375,57434.9043690505214592866302813000940846,68377.8599567748604239405129452080723463,0.1405610991972315072227570457092858588384,18838.0836263061251031359103317611263073,30553.1272672569758245608565806207129967,0.2103114793342247202838040000156659877033,12594.3198519727604159131291981492563705,335007.2182131843911820605305796541008027,0.1265725972975209863260864167173572553288,83109.3580964138470010078702733944134166,27488.9445780343736752482456061550771841,0.182562809219698257778060726578899146994,9836.179531515074449775156365425921682659,270835.9505031277899942524485270824313546,0.3233393305390026108424693864645059108093,171640.9532462885424265275599786456048907,298324.8950811621636695006941332375085403,0.2975543094565312039526649085640995974334,173985.0019731519668942340315604578571673,633332.1132943465548515612247128916093411,0.1904195458698647374871881871183178101549,236373.6742606899412594836602002547688733
1981,219171.6381813873955926348925340964075342,0.102274570313614080531244824721746533592,43934.7428350672877619006526657827137999,176013.9465459154471920876054068419437206,0.1155408187073089231684649836119319681551,39860.1191561263774300083206912236004972,43157.9414689609700033752771503587173399,0.0975939620176325145653052288929643189835,8255.430820942728870403079378513626524871,107432.685655382167343292033354234451474,0.0961611285641490375938434012408438897976,20248.4626627060688147861011694177101997,25543.2012705829143196715829152545601563,0.0963897837218954858524189913740606536196,4825.723146231212849019258453530515635093,17614.7401983780556837036942351041571836,0.117510661855154451362987696204766529279,4057.042767071279885403463428409216226334,219171.8880148764171954628825572006610596,0.1022744571385828611245516050025564061652,43934.7442988491311874879351522349420547,11483.9123091680833929651641839440481989,0.2529674841851063083884419735924777671791,5693.910554687144612757454910466532306743,152147.8215649552700814669539444437054191,0.1480426916079083818697027793418284902543,44147.7711324412611604869944980741440437,163631.7338741233534744321181283877536187,0.1420586274692353960034424365302239123581,45560.7870681555454980806608058862947118,382803.621888999770669895000685588414679,0.1029798385304055515064374957853507429562,77265.2681351278884425464757715296671352
1982,345277.5684349794606916033057993447583057,0.1069944703339711740923803649611292144523,72407.8694836881390801294109807611916319,274049.5614733526436857082841372175521821,0.1092932172331364745615059348926187993506,58705.4461793157208889442644197009821007,71230.4906857465338458392802906954360948,0.1366723369770888111359839431053235863861,19081.0657470496428449502423583919925118,197478.9942244664693400873061193347415772,0.1222884319693032962440987996283686233715,47332.8172391468085213690169630514599601,37774.4366017042134675359843975984572967,0.1330560935118641681916932232898960736842,9851.193178915307097112217137711294814276,33456.054084042320378303295893096978798,0.1498575791671884966446048842919461200717,9826.740816101379620756789130081331917233,345280.0521590991775315475644279129882757,0.1069933607670368704723349310002865913058,72407.6394451868201950744979800028506102,3661.759794963428236381578531681671821734,0.2784639516843260724802925233712972423926,1998.549481143635499080227148932266224369,220520.1571368273072989791352577605039565,0.1499773229767911749243880552447760975992,64823.1247464132733983537680445091501791,224181.9169317907355353607137894421757775,0.1476763337650584180668973680452040483208,64888.4726342630701615795415215246557974,569461.9690908899130669082782173551640549,0.0983055870910296873650540324097232772625,109723.3346670877191673441936467750963944
1983,425228.504403413654540475176341206375636,0.0758045447111338421572009484022560760007,63179.1362220144027436691272873909639785,316797.2114316888719690362353418116751739,0.0811356947524268375679702899729655614717,50378.9812164774069676771218173427131639,108680.8113579328834050804119993983486022,0.1067590870399142400918018239923544306994,22741.2218306869114015317356818029063256,265964.3306387068224290807215470553921255,0.0915894950285744317257175491101319436015,47744.6959280714512562263027062251186781,56998.9275319313826470911682281140808461,0.1137430156706291957370484146744650824877,12707.1306186481171614640679563148029582,51681.8838260015007579892437712842677559,0.1080608482284588841774202409472676386947,10946.1848803934885792223985353012284655,425478.0227896217553741166473412100237764,0.0757737429610374252193049674329507588715,63190.5221754851964497507902770032536062,5211.170504138964703928800495247706484273,0.2455975632497790507805454033889551424205,2508.507523891478638550380093030992783823,176749.2259445654415786365978217311466589,0.153372077385497951858508316956214235867,53132.456080417636333826929212615827995,181960.3964487044062825653983169788531433,0.1505904226773536822608275767131908601252,53706.9263030285152128209984249668765778,607438.4192383261616566820456581888769203,0.0785225379152058199445366290150459762384,93487.3083593565426074973586728292061034
1984,410587.2007205401785032275405438024657751,0.069097512864137777052912570577439941735,55606.2865919301753133636579235248992782,220963.5401136174715950633752965320464046,0.0773639911721954384805548556017779443604,33505.4578787848312668864111780165878383,189935.016669590597678201374094730122516,0.1020691131147050554723913256736380887266,37997.5374537479926827221153059760397549,307424.3971039475578127537484989167879073,0.0844813034715466510581163445156321347559,50904.3630211398876298077885190320667036,128599.3512703175871309296749931731094171,0.1118704515309947205682943919046634999094,28197.4762866787188380856360034679989896,61335.665399273010547271699101557013099,0.0996472112162368968119238322530468922762,11979.3788900543901217472871361025353818,410898.5567832080692732647493912621689231,0.0690725482353594711403982724938691789386,55628.348351165554672398783260270222534,26545.1079888130081543917741196663737412,0.2464147006513767663009081363001817660047,12820.5654840907816321139092863987498939,80783.0396056199690028943716590386221794,0.1417483282074371589327804820326884928414,22443.6871907591559012197405627801959026,107328.1475944329771572861457787049959207,0.1269412594425204422350809332468404875707,26703.765649369283984480339988773778622,518226.704377641046430550895169967164844,0.0628796444636482570338842560670469608725,63868.3854087550688331976454939968213795
1985,177148.407270296241509339936180352215399,0.0619376283272524522945919139460803691722,21505.4183282138153211508626607785845146,81348.9432318366822906132553794396571209,0.0749937860686972554519727322133836634208,11957.3038814601970382915960750708807222,95836.2533412362134731053635860963727816,0.0829363361850522371204750186868650205759,15578.6831426162205746665647787597711604,140713.625905492750075426152297722924198,0.0732761436541011048101819248930635889691,20209.4656572430456369744773574758694071,73264.0167559413308526762383259890473254,0.0868708699480886757947725124559666438303,12474.4373881007391493204769406468486443,22572.2365852948826204291252601073254561,0.0844387279668031358333629631516871037411,3735.703051470950406177461309984038683352,177185.1965730728957637186189655360299033,0.061919987179271601190118421058463495286,21503.7579963163286190616476262088700436,6989.184813594413078113745208385720178741,0.1604587777707471417187303547667545968206,2198.093063494324360554824709636515900267,11209.6701613846524497491724636781419667,0.1415382221252946982380472151833000140486,3109.729699096564051846581573213288730917,18198.8549749790655278629176720638621453,0.1192242054092517762172246396404708104432,4252.69828655017189755115032258553397821,195384.0515480519612915815366375998920485,0.0585137935208156830522001403480764942328,22408.0176171045157502985750939829956635
1986,246713.6994569530394879518037775385748244,0.0654889344340496083006221561668433724139,31667.7538839277073893949567101971473179,149533.3087343475270993787864758206906634,0.0895888423922903931797678163059712125236,26257.1714160543556683208989694032052809,97208.3962705664055162242017289640634657,0.0961180753006169580116983979551317157143,18313.2285470695682983668135398279418959,144514.1077046644479920415284747289478078,0.0798669406083343503184676883662722940437,22622.1233279451432601558834136690544497,74356.7011616066845462132457066557483717,0.1017564448604225274147095983984255088666,14829.8961810377347278949278413031517202,22851.6951089597209700109560223083150942,0.0925897257378041409336601619854402503508,4147.031078253701723690636564286101632546,246741.7050049139326156029882047847541285,0.065485127785962068135428729857655754902,31669.5076814509727141593994642805752079,36161.5580599099505356207299672167795427,0.2142889013770682902651596626956362804263,15188.0802755326977672254703666099395666,28210.5153826453541702296822159282223803,0.142907684622194785227404712594948867543,7901.738893252007558273909745131100823362,64372.0734425553047058504121831450019229,0.1460423194512740064627020508152358282969,18426.0519503395256045853917535592092183,311113.7784474692373214534003879297560519,0.0726284708128352899552672425431752261006,44287.6072357881318086169179264176375452
1987,706212.1567312777381545772052015939910641,0.0705638466240110963207365864899758986368,97672.7707707320169963573954955402559472,500558.299089245182176103705570684741159,0.0818352217404410698211066722090715085613,80288.066823973345356400156100559299841,205669.4422749039349061375861177331403432,0.094584336695181947581240858470627493981,38128.0912410380111075791293731722939222,338277.786353689972859180122939034945509,0.0838676484736682559806070684910025680712,55606.302445829369558271365461286209244,143064.9999793654590304220216020300225049,0.0960731751350217870157399099221451586183,26939.6292454705535383713343316597658304,62604.4422955384758757155645157031178383,0.1018099983161987992822627565692882811033,12492.5660028028607579726580575349055311,706227.7413641491170822412916884178815053,0.0705627949437013170946196786058888144904,97673.4704629662943430015466737195889642,192685.7584379221164069178972436051981452,0.153786443864250420506759014665333463781,58079.6168439698916438240513711644087778,233827.9366639719999980185673678942449136,0.1327760148827326559374748061886866762332,60851.6135330486616569806161938333744569,426513.6951018941164049364646114994430583,0.1057287974929956336717192366476724414592,88385.7689909381956011814151339350720701,1132741.43646604323348717775629991732456,0.0748590533584520590030735529315450849588,166200.0652021326801371104543022717786614
1988,818791.8185750402124405064781227270260015,0.071405065154189407648928497841147364012,114593.1309800132393119730057089783601237,557253.8709044990500424751428351049731235,0.0716496190411402749569779849337076301964,78256.9740166359147908630987334863200937,261545.0356200644021400441114509803955578,0.1449426228196415887779009659676064181152,74301.6859585282888237796759173803354117,433488.2521740806721070602122234044545374,0.110345125713463691376425108254777830312,93753.2987356588208928167389865541429023,193678.2225828369087901814565664697553676,0.1639721880000119185060631543708036670817,62245.3701727277315716431760732736425231,67866.8130372274933498626548845106401894,0.1068843997370346828119314499394232190708,14217.6510041572557357193250200753871094,818798.9065245634521825192542860853686801,0.0714043639593668974735569919510903915024,114592.9976567826649762349678412333122789,59387.1132061370514649555951904289563341,0.1235839321407669604799240828299009385215,14385.014218266442066516063365999747392,321993.4654822519793252775197198467556985,0.1307745146676169667790418388366328359615,82532.7367821877347806794049562447169892,381380.5786883890307902331149102757120337,0.1109926928958388436092213438843267115731,82967.6965957234219454858351252115228742,1200179.48521295248297275236919636108072,0.0667685727277213352471049967529001165047,157063.1716397299345863038420516838769217
1989,884078.5646766657096053235654022666742485,0.0676109298883407492766302962665660161443,117155.8127501923769137489593639402142476,636155.2696563474023887333364485303441838,0.0729823963950089213491115879501674815921,90999.1466753133403479372583052010318643,247928.5713665694398407519185417752731251,0.0931147530833209516200757252023644792084,45248.1831019933154824492605756330116664,493031.4057131158482099969802163030647222,0.086527889618713543858829807028107248739,83615.4954221231779522150495771876639391,157872.9155497490107089921001143837454799,0.0900586484442001971982341325734916863511,27866.9299446972756119661276423551351323,90055.6558168204291317598184273915276452,0.1094444085153723931728547863279792297089,19317.9324492982996447662624581662090403,884083.8410229168422294852549903056173115,0.0676102727310361376175252063373664242023,117155.3732329763487196327594386359939788,40747.1696955079318429944665432228700928,0.1826385715417962869786258687331397631384,14586.3295404151285122928133191155678132,505267.5292771366072913997218895080630591,0.2281092242096193695251719575292999688334,225902.1208785687957853033963511355546141,546014.6989726445391343941884327309331535,0.2115709791530822008574587778960497015972,226420.8944074909491185287926280649058041,1430098.53999556138136387944342303655047,0.0942662908441284503137360968966560443825,264227.7664176907024116421369708328122845
