"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE65","CV_NUM_MALE_GE65","CI_NUM_MALE_GE65","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL"
1975,87494760.87976700093238759843496722065683,0.2673205224908191843840396835200387996152,45842724.57943365815698815615907543332234,46444267.78414589485240099702795655308063,0.1576646849229596054064843482319424584822,14352336.8594632545469288595394836416445,27390390.27346641363424329929516460973002,0.1643921074812623964577324403117101604172,8825417.40430725299621607810958644398842,55455266.94047117661765436334919262207692,0.3707379980900685146333221709743266749705,40296374.31215885972699816280455475170487,121694213.443131698489776185739998381943,0.1998113914541977067474807745644947478033,47659144.63519270241381753986019246148226,19004378.872268472796348732213989248793,0.1790194125004996922797178465777207604417,6668219.37167480533200865988705061436814,32088992.57770683273654220060457729313744,0.2103482099362644389549691306866857820993,13229729.80886226812215851126784990777889,133939028.663912895784788595462923773737,0.208704860182402899233989980563752112902,54789303.45052683842704854332686202276079
1976,157191515.846134354016261670756307225053,0.277547851045137534906987186428955641899,85511208.1542196573302245786803814077864,88794316.84671511285781980137082899630335,0.2358347512353768380532634807653863806191,41043939.82433416711667090881185718268708,42995292.57896246833197038364826577824829,0.2160783620554949462500910445929996539244,18209090.69725561504395796683074555436953,72988870.33474298573273025848857781235935,0.4394090073959783932283619636351124634249,62861055.44689664957708834512215900761855,245512912.668318059113719880285876270641,0.2187029150592777451512594314438452127335,105241003.783099877505865297747431102205,54162532.33274159894184820032751275226996,0.2320006210466830166182723574434705238299,24628852.63176791596867687799085295199547,75839137.44640241386753262966277987847761,0.2395516114690572228808812052129017454188,35608079.67190967840139240022056947558052,245985832.692849466874081472127136221355,0.2188676068852978577491968742437964378066,105523127.837175604631367468746263116394
1977,205745898.449696919775667437896695924426,0.2976256432220645101602095082061750155479,120021100.518129517677710920913337396894,172063294.893734689311839608855923578749,0.3906555614675700089716228774294951408214,131746266.826357113679838738597164182366,80281779.59387735048516702751201868625584,0.4152087001110648660855067722964000419999,65334038.96164258239801782879194681728152,38236532.11590997449695756909158946335763,0.2458826832184253401543470637915355698172,18427334.18270978053704695877285931744898,376686657.657171525489528303261851473391,0.3213389823513468165453558037817880919832,237246450.184295895566173150609424073412,88987987.51875993242062641375569173310688,0.3553445032179360791345389337205109462686,61977928.74574658312637649872636795750726,170302894.114884351684756036393319620454,0.3755717488869264389799909019926941773472,125363473.335135049682567138471040783038,377809193.343431609087507046752619503175,0.3204074490514748524723779266138085888294,237263644.540034175516959018502209669338
1978,109940006.789514326947103972088617698557,0.2572756407858075684260312125652614787375,55438375.96174593299849027080906065052624,111327150.270746883664978389836066433093,0.1923114472209738672445507505950245470735,41962591.35176616515026986953433656581656,61893014.62258051365866550109921712671624,0.1914981781599862263096872710339272246692,23230703.1004649695019375935786415369432,50729610.44893835625089652368508428919637,0.422857293148351299671662812819336230292,42044716.08354044771251937183351930463551,200597236.072115405975494039075583849858,0.1799188070997785042415575712219187443228,70738782.22635101748020778836981238203461,28655952.48740217986765906653614169624667,0.2644069370553432384363770435026734648634,14850591.94617101116704267602846384031176,79988579.50134016083486127060424101949073,0.2138838240713552547168554007153004641529,33532196.00093321429022974451660673062285,221267157.060261210612082361924684131651,0.1800010273541769640706750856663982828708,78063498.55754669551979773212767123072156
1979,36565022.80474800227423433054972723912626,0.2567428954824872392912350359475117352764,18400107.26341739036379334589058476020705,43483365.30374654282545643903596413211541,0.2234482863274487423962301178711813089726,19043915.58331031100701736109946593934453,26920958.33842039452876767399866793260074,0.2176918284873210528067535866533472487255,11486526.3848305870318890473548860482733,23518112.21344658378750744960643481786938,0.3554240432025993683449078069809096635693,16383448.96153541216867005662876470420736,69283941.00054142772646203189983846089842,0.1869130398482039874718782980403725790306,25382141.16914663529530785181856708640665,7151511.37177122314334323301235349597332,0.3498079340575073995994957550653040973081,4903244.61996220212882042921851939521806,22457806.1848563436400724129682351247982,0.2636633247096052062067332182380814263145,11605747.69499099010215182926596925458004,80048388.10849454509969076958569137124157,0.1862840769477873174764126408540800378082,29227010.57630031659245019189682006769598
1980,127148372.552652313272111240731975949021,0.4933592039063090189094235594539118283077,122950446.926696301688472268645596879029,102286637.758460075383604168240429051738,0.3547742740104311238005785713978735991556,71125788.59738222536026146903679306974295,70728916.80651160416987977944213564766957,0.3094788967183741722658469323652778540908,42902649.9931551725142093834614322561445,58825773.03832913793254931674510139433166,0.4149455373374352718586397073717817780141,47842604.32525181302171787415323845453415,214589124.988857713489516076012908569415,0.444063494445832342020257808119911361852,186770745.556746253394256781235327271177,47876652.32527895306318841136426342737808,0.6878294745655696165747334914643986591805,64544706.32119595501093829120272460027754,52003668.14099269349009790142090453137958,0.5173803652559127399841650898776165526896,52735126.56217078194992015247681706032431,229435010.311112388655715408972405000759,0.4183319950939453263914315862632636811111,188120810.991381223763925051186228943726
1981,84909909.33580997191629024834681728917556,0.1878700496904652515286281319650450279175,31265976.61681777681943322571386184242861,46869433.38538235645976485339905469785884,0.1605832976552529214158872756957628160444,14751838.41762549097136209760984473444633,23452279.23520072702137010876166670182276,0.1525694476854528851025335961780941697805,7013078.52816399702650806726727979481518,37269759.49885817351380758633156978041328,0.2478103103942036849275559947867414142451,18102228.11266955570439607890294615777985,128366282.82735594384760580613840874754,0.1691597970070000387597049508771360026028,42560252.11741262546794086800744173011478,28160575.21399241909946315715058570145793,0.1925455177689581036446774861082100086075,10627497.36908972262801618393889010930125,42896728.7731410087414142495020498033403,0.1878548935729972160678664292424159344856,15794386.41988393800745881660627042464951,131779342.721192328376055101745871987034,0.1656239479704195409217146801068682479437,42778597.40476445274692513269099816820154
1982,180111692.665995379674516699218092399113,0.3782331357285830650276615293144334008716,133523452.184946848101848908016693258373,41544176.19070613732160841507097507509699,0.3398716763303488563248723028699988848884,27674590.05524937674881833244303336974475,12960914.82833421864669956637153936701841,0.2364064807943274672282926756106836017395,6005526.75438535478304314151980319699961,105962645.257635782716774360624248377499,0.3844458610955397399859276218244277683999,79844324.78406467781870590108396979661449,209633077.902983926533575922554348798705,0.3657334207601810300436474107221382427829,150272852.464449904345421379991410567626,44313336.4590875798267917487286207652158,0.4615326491659648515298392240007006457368,40086021.0759170372074975795508102128813,58418972.31164393580585943856465896447658,0.4588469560356332752327930272534404968289,52538520.53505841473436843830558053414477,221655868.856701516996125114289067474209,0.358089233783719674398836419614612733775,155570257.275419361060086641573994600422
1983,71648426.21244205548339512846403284171925,0.1994168684205672293625785181536954337562,28004293.37379266377522009532018001026673,14380288.78800241762522004955067762567337,0.1476040854422364592679128395853018157632,4160275.17489875390330087706190471004607,3657342.11789960420263042281366344694574,0.1999478718810345654314327190950696719865,1433304.43550120728405126402875590496586,39356882.58155645052394617557819621116831,0.2561282403667654024364082881353133005732,19757601.80059348790354436460602668903742,79755634.10163191745519563176824920222789,0.1900097824949564286453160175518233066642,29702527.34926088418641245442888107915964,21687002.28589441289107670280825385820903,0.1993380394795228607743477011378555902301,8473167.25500192108885029656003021418306,21327488.01509400549096187681459695106949,0.1526338174195625719532183259144065668698,6380379.98695898409776475084648341621078,86028715.0004444731086151780147104673926,0.1793482627272255838527012713540655817776,30241037.13677124282871021289534460534163
1984,198084303.221195182044749871968324919637,0.6020709586194629106244956417449104276896,233751180.402592562434943611807222659964,19929789.06946721187491827548800679339475,0.2119432244567935868404047831137053410895,8279008.16592821573490873445425738552772,7289552.74613438176886984784147965120973,0.2902453661474204218468583335978157230501,4146887.45547130701869484667194883266889,153726969.945065665583396965778481272147,0.7430446181970334395671764975381979450117,223882955.471259578137260510315484861784,216832481.485509685810067712513030731426,0.558372874763987974338379885028085859753,237303817.017375552206107331004862942086,28809693.45319100796323806772741847375209,0.4041137234077414864050596325464958965409,22819089.28354511731166499913240304016078,28187876.14627133860416326610895231592323,0.2344761952788752632736170728293272687779,12954396.4654689418579576341988714774601,218014092.290662393919668147456331713031,0.5579310241592285416418664100887629057725,238408178.554032728459390163173505464198
