"SURVEY_YEAR","BIOMASS_MALE_LE119","CV_BIOMASS_MALE_LE119","CI_BIOMASS_MALE_LE119","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE135","CV_BIOMASS_MALE_GE135","CI_BIOMASS_MALE_GE135","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE65","CV_BIOMASS_MALE_GE65","CI_BIOMASS_MALE_GE65","BIOMASS_MALE_95TO109","CV_BIOMASS_MALE_95TO109","CI_BIOMASS_MALE_95TO109","BIOMASS_MALE_110TO134","CV_BIOMASS_MALE_110TO134","CI_BIOMASS_MALE_110TO134","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL"
1975,47149.8180145857956497715398186081056599,0.2097666531465242389863206940900936481046,19385.3006619192231259414585341208046828,93907.4685860567900969336404890906593527,0.1727989380188828985830550699368294414038,31805.1372536759514782043411577956429862,64295.3113642388944006921539414099587666,0.1931983124127919289490911742488635749611,24346.621477186876040237680741242670687,18174.5607340572106577310802872416544202,0.3394017996115815083690415125416193683449,12090.2180957664461423173156804918705489,139290.4704688385541092210407349382292178,0.1650366072406179792102567013263036461331,45056.532267568147227722051652229107335,14350.130915645766856458619863442830601,0.1890453975936840634780356457921597279201,5317.139360760556218774409081756475465059,44237.283586700713831823326215604321225,0.2156604177020916653455583984315965542626,18698.852870374969017721489508082870474,141057.2866006425857467051803076987650125,0.1656675684971181029253362753609899640561,45802.4906722619672677262188883603889394
1976,100226.4035277212261437957312687402675306,0.2592620029730353355373876739128630920975,50930.400333586171557504637779615820351,157280.369227730005910516113977337575477,0.2499680801116997224659428963299724026918,77057.5409928252548187209106123082465899,92067.3054064617353966700747161096455306,0.2268872633681405525011892208881845905642,40942.2419799277921025020328854579323874,32391.5676436014939163072705535731798754,0.4498219067742656993253361978449768081873,28558.055972870767644527656534213986377,257424.1785600861297947168553330218112646,0.2167401140282295317813612666360500278408,109356.5257968833197968978537451779296615,37758.4175465552134575387860313087008141,0.259489179994663627822948148238850134109,19203.8855818213931441144510145763396418,95289.482158832789283795713945086316788,0.2655036076290455367848483084258628643149,49587.4145132564048017729370459507114539,257506.7727554512320543118452460778430078,0.216765719829958007704133004818481489846,109404.5362765526189213629905842442724047
1977,86917.988001275081629939116961399978432,0.183499996488645576564772126618605907934,31260.9229663468670360639583555169067392,166926.6466862653941377401354762011252267,0.1782413368950530707339555787008913162147,58316.3281907855238348609111423186486163,93760.3227685309077107116958520509531349,0.2098055491643088569679832454097500214501,38556.0145762179778183709490674069370924,13739.7637063104463230764975017201255112,0.2114670627887165789695452271297523722074,5694.79464979358152547593719051022225921,253711.2963461160022200257122153607920244,0.1644139196128059417379678739043802704981,81758.7906173297603914768083430534694741,35527.0253234496176404823882577122286621,0.2262558603952131032854242976633467816855,15754.8674564056499756178280710304269935,110817.5228892495040934086708261177963502,0.1867107759198091626506727435528404628899,40554.0183409594545463195701999189952914,253844.6346875404757676792524376011036579,0.1643421733116822802151995987039972337452,81766.0627381984866509255874957713404674
1978,55219.1002737338837888523280109254287305,0.2490904553986649842268907047812664837736,26958.9196344222820270057879713130277499,167872.4057704912448419431587713893250866,0.207504154503955675101108364486204185284,68275.0743829434807922488115396436854485,112827.3722592624874250949520586686383233,0.2127759294866429556208182255721629762573,47053.62004784009903469028842608860791,13353.2264628901711276809135048647752885,0.4308907636015901589992303568056144733912,11277.4126163938250406048622312727421031,221580.1093012295168933400467752693091079,0.1825985037282479978628095110464965241048,79301.9849721184673456007888079880100221,19470.5906532011630810549847596864038134,0.2942833163669307046965375667268170006381,11230.5451785321235981416539792428769021,77440.316668871306996964636459094936393,0.2008122429125802305296670822618273768089,30479.8888169875807787795170583312496621,223091.5060442251286307954867823147538172,0.1812162094335689458124060026245473839852,79238.4822810348019666813471625730213462
1979,17753.1530029344011471160099633110008218,0.2402352633230221793322947488532682657315,8359.269437488741696530820651579292446244,96241.5021667336911885088675585014096414,0.2430620421466607142702941276707270888665,45849.6058695807832853633668964209285419,69287.803691493861615963758766593424421,0.2382455538218717040417988717462851846274,32354.7218806189202222432249461914063353,5804.60493096774438997913133374452995079,0.2715661157618032066479874994191361509605,3089.614668684051560709825824352799538653,112650.8350655288304587676000903137312465,0.2306520815853888123121730746354714949302,50926.9732163852079253588926892321608616,4926.198019198867408936927229248948290004,0.3568880078213634616400815148645176732123,3445.877954522643944652638904153782078277,33976.0485280076189207450601922255078021,0.2793623917427765112899758242368224776306,18603.5951503555853746984504264007772496,113994.6551696680923356248775218124104644,0.2280533757542056560645763632074231131115,50953.8572215836627630092999343814204835
1980,37093.9357734516744298979882516414380616,0.3524747486477690074810099527934157848366,25626.3643486835773490033366567948857934,160105.7865974280330046547521454628352988,0.2289815351098319955978585637574692971486,71856.0868382906227524659350730942839569,134588.2460224156554944698268356253883458,0.236799975195232703795979168243311992099,62466.1669065686915083948809470071989973,13906.2279954196042454591981094433513173,0.5214709573313414986564949549972949951025,14213.32029025315161152013221679841516,196531.501028912873170668169470205525437,0.2168150736348011270410312654277950420743,83517.5440595978065963409906281090963895,13083.919767558529707003303977558004244,0.4064714331459239000203844744366402868656,10423.7496534081661995727062866889720307,35621.3285854859179876204114744775294537,0.2618272716201546057479433392753512123794,18280.2051390446862375257184381915574384,197199.7223708797074345527403971042733604,0.216014431058998332826178675245356870047,83492.0522325584914161936039713753982122
1981,37589.3850152350944050937348995582967914,0.1857873050701457910626201248048890308067,13687.915860800312585652255696407950447,77899.242698026518476427762160096092668,0.2204072346014794528110043174874344405776,33652.3310548181714941423044113631039067,51841.9217766588522685137097142036942916,0.2332764755251645425672679659654276574762,23703.2615611600968019678606762078132754,9949.096793779925448276347034910374142773,0.1945612206473632112243913191530563953299,3793.988496411716313621548139630911278704,114983.685120265425166655938540444197181,0.1784704380472498628264130326569496842068,40221.5297573336002517163452702238016581,13798.0357169787349545563131356181591085,0.2025338356147074231199951548773955062158,5477.355431508528255653127780175478829716,39899.5734258441002101751271749221619164,0.2040046172610995804574188493041588694938,15953.806523016112276128367233683565617,115488.6277132616128815214970596543894591,0.1776843142350853880065884440817009145235,40220.2145296766557976662293193616828544
1982,56211.8454443510549353580900085761913503,0.2901770747322593174398339467422183232362,31970.3221976335863930560485618665725378,43220.4477838403684527302297904740960786,0.1765086997409337657830538526336332729385,14952.4186794713081573821789547007438088,23960.9328502704149378138329011953371416,0.1854979621089505085765638971807533225912,8711.620259350955122134775167021702783286,26038.769603829515582744980286668748838,0.4077951146164474997171647022162602577741,20812.2267487272560607796645297533104113,97452.9040483536762553248158281807106722,0.2002735632614901196992437248008568357281,38253.7910741300176819928169408743751733,17044.8822908558365340324603333959917416,0.2857952959933449335797902481811252430066,9547.840471794259460730192316349028593765,32387.7084832356563334970462777902097076,0.2134642271227901362538760229770778557045,13550.6896329181806323228505985607893348,99432.293228191423388088319799050287429,0.2029915684045245590407425845032354779405,39560.4776188003602840779873194331698727
1983,33508.5568250725654831174449347578486604,0.1991087746694292433687500884874358739576,13076.8214731470320796840397140809282722,22568.2514594008488529964513177294794127,0.1699090857757327419597275236005129538305,7515.719907126343146840195897047943199983,8606.990244612598933929984766247770592372,0.2425684629250933167626232890474722097967,4092.057412332024081438557124981127705632,11448.3059947677915759884230196584102219,0.3227874640789385647987051438038335713972,7242.92453369957889034260652334392929293,55367.4362393640646137552939812916833278,0.155804938060568734713580670277049603632,16907.979148739349335697453409851653901,11510.26109554934342004074304332458603,0.2126590522039453564063670889982464799575,4797.611981790959421085290567833499778256,24511.250949543680406154745423256561229,0.1411632972526608941307372421594069698439,6781.774447497002259530515321639472476793,56076.808284473414336113896252487328073,0.1536229809695314643482216328997025075695,16884.7854457587384384927266021953774806
1984,83045.4630871779190899706172604905967665,0.5797988603626352338569378871725749030178,94373.3431182167761045107912399406498588,31161.8392881448671013366003841374828222,0.2137408491675133084802407148063137976055,13054.6936624965381603683576994588930818,14880.9732528612042236381588915165787656,0.2424374452203055574069627363343081083367,7071.102070118125981710200366063639850822,54340.6482459944568143065500405974728929,0.80891893556266973664587333627292378393,86156.0715003931728293492906638785547077,114066.6545485565370567774987863169248232,0.4537788615221841329044525681099243927086,101451.6318118289732898178825943949349192,17035.2017420599647421603258508923378196,0.4970772569231033241253986938589429542014,16596.910252026683296794991254036021274,27950.4791344071604112021828616216901111,0.2060768383785900892685580523747044279085,11289.4948875233428648792633014461517742,114207.3023753227861913072176446280795888,0.454128940221613671590997569663200683965,101655.0887388184485594949081429194410729
