"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE65","CV_NUM_MALE_GE65","CI_NUM_MALE_GE65","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL"
1975,83891970.97396871937601539993184007220319,0.2825626950165293646537610720378175696778,46461293.16095999205778071234015241319221,40403341.37206073725130237527472289588064,0.1768462495933698893217671143469460635996,14004551.6096715787232238327445241718299,22256963.19453483048607740671421681647664,0.1865176164004149714335462193443900053016,8136578.81777854810221028837903911394541,53965440.90756189940889874655039643827666,0.3858036942631998829546291785175088574188,40807330.27077239046990661240049734488622,112050497.12524825933230536548363757629,0.2175844934674452518480354611145210036338,47785683.29315424279454839787757911613981,17500949.12595118745991375632218491132618,0.2101193574051992914984553743769223600906,7207484.84127885750934497053305899758321,30571959.11798153927242786561976480200415,0.223736762557959744418142322824206699487,13406539.46989851661410265508155770555657,124295312.346029456627317775206562968084,0.2260310836054655791069728433335451099173,55065424.10783957051844012237947276205508
1976,140291521.048572635201509845606951850524,0.3241992929756073787467510004518473798435,89145527.39146278654485287000261401918471,76207466.82622746584610438127181584694688,0.2645634191723740073793042683459585361082,39516947.66042352722262610988230104660359,36352391.66602802188495607891526129765131,0.2381088696222067869170960426580915831552,16965420.69981685914406630075302076807198,69243227.03294846834358572337386502655277,0.4807541524713427878466600171768390475143,65246379.09614758874975994382028581085644,216026067.850268693287252635037507746757,0.2525867035501014780815826451842931627464,106948012.224012255215055670104013685748,46524455.131320748633995438277595135762,0.2731972104286171827199267428565889136941,24912288.66283285833465499896519110663645,64378914.04450286218507698631204623750534,0.2652982206206253904488840244933109806801,33476038.22932980562477589582976713558445,216498987.874800101047614226878767697472,0.252767503747242648955256926933313562411,107258861.108678839708835587706550857907
1977,99937322.57500579027351983016342829417034,0.1940733808525258870670744312387122830099,38014541.1683424303619438530866523965113,70584841.92426612920488903865058730695829,0.1881282898585879044809031970367636351089,26026850.97825585412832672150296087211638,36088154.84141309594599633009171840743932,0.2092003723203928816057028108952982300749,14797324.64119203285413263139253396872866,28371900.95008287216549775433034306797207,0.2346017020693157437390311762297258864076,13045948.65750969740276986400483714952207,169399628.813011835880430125323247571344,0.1704741681481895605148079414044252822299,56601391.18076014260843975928828261104791,43187805.00222296373143825106652947101119,0.2366128759461510487309499874929625695927,20028829.86485998591612442062201753456959,62874303.705552987635476533325424654706,0.1890221459114781902767569913750169574248,23293886.18586271615331117592057000488947,170522164.499271919478408868814015601129,0.1697483491127659201253839682624051753917,56733877.58533834127750452605500160377975
1978,89478311.16063306853811768505262636522556,0.3011281267021626304427427674718810163528,52811094.9917383085798890708560779071309,67875021.16750731167674399270492829264001,0.2307527173945736194810106165224827466749,30698197.33212837343992862305178281456583,38527112.13478123669390438127894636013138,0.2367416455684620085310625321127360886216,17877104.97454599162469345779247821668327,48215574.55037473656601631398597140628717,0.4500726121475062720794247719304981730207,42532998.78479676652941758545349875695694,136683411.339994575578273354908454376073,0.2080449429356470488223407066496906267112,55735133.3244583386314756581079804542601,23002007.16826500111742040616915979307824,0.3027589474941820088134467843615047331149,13649564.42181438166226031178575119364193,47608638.47471940583752057632347709836883,0.2128776151812478277204097354171136841345,19864234.3042279557378282355345376126204,157353332.328140380214861677757554657866,0.2080247004358620718345386486701108108959,64157424.44748626503776120251886613530226
1979,33358605.30750720595961762668730711433577,0.2789258563796059966090299940236741514842,18236972.00393040583292846875226546588397,37959405.26058572608899302667612724933456,0.2567564500047447509745631426451950874881,19102791.39243887079771702062288781714388,23642348.33482696170247376635741236367073,0.2517370436101380168442685053185303023003,11665243.5526684012131271075530068928873,22360980.09183019090238248175469816458316,0.3813096946045253015573589090466485010058,16711858.64015233484311835477821450272009,60553563.4601398146753819156775814533269,0.2089245870999048019451490916402983654633,24796211.35694168327542322219822698698121,5911822.58123889015650283166560285084051,0.3464828653745665278151232020911742848014,4014756.64596608486559181579628257439006,19402859.56019688928725157358572098457594,0.2967966926306634522339572895583438116751,11287060.90828562456507819779428340040107,71318010.56809293204861065336343436367011,0.204893910903766495746290588542687313753,28640747.16221851274763177329747319475113
1980,70809321.37121953806081874933986306263589,0.3651441440137730894759152141578900997348,50676993.7189686500573247395258138669695,51333481.56653560232255224373081973838692,0.2513918809311429011676865497203722074349,25293448.15208085273109336146527303661671,37479517.67979197031496982536413426297324,0.2575172291418247456944303490332320046797,18917178.22324523868906947050532496592988,46142514.5086126190381847131282913124791,0.4502356209560996930327069366792411219606,40719007.19763164198664839244851671580422,107186948.094594875030755368755930840557,0.2717630527610945539778687228467023524489,57093726.3714508971726737970886274635029,16100019.93151789770734454441881453381774,0.4119663908527739388940376324090344567413,13000027.5235364997862277985903151700995,22420750.81783265332287191015944269175263,0.2857839447183088659325395276763384855426,12558681.60004227197214060362702947417293,122142802.937755140383370993070682801023,0.2544134509930007991198486646867999182885,60906553.13833055003042970933546088847529
1981,41074098.15232374325798115388081336963139,0.1652657114810162495470133972171375100228,13304754.5069863616217980471523082957154,18353676.910001515953428742950821157389,0.1493624839960409407746431193890591219848,5373047.5165276708424527692205599935562,9673905.99375888553205438121651220268883,0.1731027297655230774270142753090785188266,3282175.88862884794773117549497724127692,21161434.39571639332396379474081840924357,0.2117411804297477724985306289011181903638,8782264.31312988450989852646665633149153,55911289.11109989333361365287242997723872,0.1501018034978626665752355567376382756606,16449075.2496743493903486602410500184616,12268425.52866705653318755407669206332772,0.1840263908720440744498802783206543528402,4425119.58057717351323104777049731882649,16324009.14418292382220416679761185175989,0.1458856884397003508546281891280579206068,4667621.05170637559190226058546813350631,59427775.06232525921140989683163452702028,0.1492714777778955851617939489925999826305,17386908.73702709821357732851101162538001
1982,110873064.218435315247634972856720134763,0.3890224125511262239359191698974004361789,84538929.58121564266815147533460390803227,11998810.02464166241128872746532355796578,0.2074887303975399003386291492658283525297,4879651.00225657904116304407085015417538,4002738.38955112967378239943909367622895,0.1872016451967195610479416152695321253628,1468665.65515943688202433815454791809903,83372996.93458939362640956119768086845672,0.4471351536089623466143085547483295065019,73066835.67072686372299887085920972872311,110668289.440431303129268505704096164961,0.3490735653784453739266922336629841460071,75717493.76383802010808005278802944496125,19083566.6839292410465659184197231729748,0.3356848133622049042221106414215450950937,12555884.50033675850467782362149167184929,16412572.23500721331216582126554597506807,0.2693592081068172918041132394515139767315,8664919.82202625956468039400369686080485,122871874.243076977658923700322043692728,0.358873323809164859565780170727327234665,86427058.30805850526412705482564814453612
1983,46204619.3316478012896049836628135865168,0.2698307169311413970755959507725514596564,24436154.09718644289612825813500656258741,5686584.28132996649418203231059445478959,0.1314319512518744827846475651536423701506,1464901.78138473425770188282590841380498,1287100.80964630706917544928655057743072,0.1692430830245790731047453273168123322098,426952.5020084268699770247413357409034383,30650844.73216812420993444136352809115701,0.3180243843765192419568237916551650367929,19105523.41207336919997658515077024658884,45618122.71416521213036746972694677614175,0.2703252391516846569099693993887405914717,24170190.66742091353690854263001451328227,10446734.41844164652824631885905469260395,0.2510256757705292120579781132128216709838,5139901.19128973918345507211709386099647,9506523.65272168997643080646427468011453,0.1477034448555921349305530770802475117295,2752126.73253199448360535645314127906226,51891203.61297776778378701597340804130639,0.2470200340362460859833403888000874159966,25123607.09001270637157517033181047407231
1984,164900177.241729532191548103343794358847,0.7188632235935056522065082782015756012212,232339719.046935052542707243546458845491,9076902.75304942515277316850548367937326,0.264052352948790230388650311421218406057,4697683.95768290297471295156668518767113,3340527.07587487859349482846656318861704,0.3906663318052916291265902100290308936428,2557861.65969546001547710819430860552957,137408181.965737653389530332119640919005,0.8304199241627339312073515596079171017889,223648724.412760932471502965866379178157,173198635.138823977411198018721240794669,0.6923603942999088145255783114649328473151,235035115.621167533636434180521481586798,19071006.13982165371809154968640094943674,0.5487492889648742429774201594056692743509,20511794.07578089173205634360906556888547,14157364.8133447716432045615766729811614,0.2657765296537627040079658978612240417602,7374882.76670080424367096649210704099559,173977079.994778957344321271849278038221,0.692574209920241193077633724207971333441,236164395.894364686903286857010387925314
