"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,32649359.43524772001059205240455241841122,0.5495381871847416455417728400395521681085,35166456.8017065817833754225483796831011,80759263.11852873741445100112508666078129,0.2717715627498087841265309384226179554138,43018219.44272127994994875890277106152984,113408622.553776457425043053529639079193,0.2999485427781434575741236137348289078687,66672832.10402421563571093128174003778877
1976,30985250.54378844420334180902957540146373,0.6271512705225212033512394059953735968405,38087580.92215130503571067615787490630205,86787568.07651125176334209909729507799583,0.2279806062749160579988632956596216918263,38780329.47892882785778641794884245097079,117772818.62029969596668390812687047946,0.2517996819705664385625344002174179321862,58124110.21580259064530386969164213517898
1977,15413867.06929528680550549663178727960924,0.2345555461277820601893378731646423909444,7086199.69642399938212251851090600524575,146176798.243301678294542269826612719809,0.1594017793905298371478535210420608347415,45669649.82136181659051045900907516309672,161590665.312596965100047766458399999418,0.1591302569720856562899521694884942206301,50399369.62714833232296221323431344210224
1978,27830560.25874882625281010779200843808401,0.6608548933659064590667099241728474557926,36048245.38693342370478387632332128066962,167072837.913903315622966083527469584101,0.176309153036594270094055214710078248972,57734682.27412015855246186757044459430932,194903398.172652141875776191319478022185,0.1776105155827128627924278319033804650796,67849110.35500434498507377457152484804495
1979,22122869.00344342423765806741793222562228,0.4139634995543809592753938635970156596313,17949798.1347832173605897593733123423759,72084063.03058555572702913304611822435943,0.2439527008673860488288882857124072813522,34466799.65698022945183307290260427381843,94206932.03402897996468720046405044998172,0.2090652116300709314308341747862642432517,38602968.67811939548909390080581181374597
1980,34127325.24690363821758278768107946959301,0.4517912514157711955679973184393876716704,30220116.88231240931618367904845587993064,92438784.95186679804105767035696805589714,0.3386425481935672619920555992942744938324,61355263.14851401060645171187379905149941,126566110.19877043625864045803804752549,0.3247327772995258375060546471499605935377,80556322.37461534918152264639601662136671
1981,13188356.19371745686848209464861925748596,0.2442442712204579516844313032370103527948,6313513.67637545272972125161014751879487,77678259.62028682898833142861131925871172,0.215702826144888773961206440799953613335,32840623.45502003693664349805908291563221,90866615.81400428585681352325993851619765,0.1993845095359971317468951852608578777506,35510095.42945140560232715573292847885696
1982,72267565.75940677699294843757673996928347,0.4597346472218230134555774733820594263703,65118851.54596231069373871800696746075288,73754302.47669234264304017760247422814908,0.1637978447389246231202577362901675934677,23678359.74037367482916018250818335452306,146021868.236099119635988615179214197433,0.2763703616817076735187922991196032696341,79097988.41418477500721109158033454486043
1983,23781208.82281340717248249530584012155641,0.2612340880018674122028775675118133132277,12176426.30088286173940480858048760256354,13163426.61696218068690326425096170963463,0.1788639191100681860573860399988957427279,4614745.66431017832484937477386982314608,36944635.43977558785938575955680183119092,0.2045761592471916518633592317132145327481,14813663.58119166325425228692254547862106
1984,109822281.842368558122297323212416331069,0.8482881184636166673697373348017664489512,182595436.185709920799566830944126837602,27813148.45746744509822972892315793163381,0.4105859754262666232574967122503927945566,22382589.83060627434901786151644185077759,137635430.299836003220527052135574262703,0.7508524579818354222229109451616788777654,202554046.246198123051469758577720641043
