"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,32649359.43524772001059205240455241841123,0.5471825926748838770670915898774883240553,35015715.84410793855872995028260906770411,79487944.90377948752964620812344725060507,0.2813359053806953315857934269075812658298,43831113.37485703399014140853907229435195,112137304.339027207540238260527999669016,0.3036681191067291205771517210697623584594,66742947.60904924270794458367323617181453
1976,30440537.34503377930609043047177862856987,0.6499707335131288914376574777836240843204,38779498.43790338131080870458390400243846,86494657.47815416873448358239394148576978,0.2421861581797850821415506266832337901352,41057705.24351272926772692730526413015301,116935194.82318794804057401286572011434,0.2719081678046099491115875451895111293974,62319443.76944636460031540131841730364582
1977,15413867.06929528680550549663178727960922,0.2609333844104377590474541731173809933524,7883105.30243787688959249295317241905324,146176798.243301678294542269826612719809,0.1823987726242156343025950213120783698441,52258438.42800301931716801497351873989726,161590665.312596965100047766458399999418,0.1834342942110540876138572414418854515256,58096888.49971333270690699811151795107218
1978,27830560.258748826252810107792008438084,0.6586069919116836122478009060829964451999,35925627.08745356671781373419203141056799,161284908.746329678229455619816703690411,0.1957609614494123239301505301522144615753,61883646.05478596822763581317271920076969,189115469.005078504482265727608712128495,0.192343286899734825723241253705474489946,71295178.18756257862239859762623550755583
1979,22122869.00344342423765806741793222562226,0.4230556812095522849085600508506534385101,18344042.61646043599110778919601466335406,57892452.77906923068650242323681848792133,0.1787897368400740539859661063162117356393,20287129.73889655509967466429365640748559,80015321.78251265492416049065475071354365,0.1755223546327456258766402965154300220127,27527176.26448834649262715702954254680483
1980,34380120.24873255405623154907130968788628,0.4584656550428826785280447275390189351517,30893724.52656496012080624553051442522932,87925325.35613441041098014414784170774368,0.3854913166465599056143793015061403988591,66433120.89870228870695383662767595058923,122305445.60486696446721169321915139563,0.3596220101028044471860017501627880111809,86208111.18208527584438467971953813990563
1981,13081354.20277282225802709181681097626873,0.2738360827614491971452631387577047790405,7021007.71252056648344963380591004446843,58366515.5575393980517537404159555506875,0.258854928659847392053968426288385313017,29612582.03271063827498881090742364432273,71447869.76031222030978083223276652695628,0.2400609910789443164853477059791716425184,33617618.99327417914629507866762495867379
1982,72360764.48864923957042471759002382259256,0.4776275912638699455458899194252389979119,67740535.38366239968555403824773622825834,52905466.23039633181213194479773771036882,0.2104547740830622928661441844977677621269,21823047.56882319689351262757807886603884,125266230.719045571382556662387761532961,0.3389693615638071108744423939046737002536,83224371.9345853014067925921766653388407
1983,23781208.82281340717248249530584012155637,0.2914902240612966660350025034247714842394,13586700.18089231575678032416620265587314,8684835.53938352131367598012367808503552,0.2110575700180866223107572470559346026838,3592680.55850004910760948189416098339905,32466044.36219692848615847542951820659173,0.2564919806918562780643091812009962920717,16321468.84643154534833767084258742354255
1984,109822281.842368558122297323212416331069,0.8533589967381809636118181877173366984698,183686951.214902706481012805873570837498,27424602.08264724980032089499505848522965,0.4439934244039940135357325281449750191559,23865632.26351925863651304949050616553747,137246883.925015807922618218207474816299,0.7616678949390064521793711262114711371073,204891628.525565709613095090847868476856
