SURVEY_YEAR,BIOMASS_MALE_LE119,CV_BIOMASS_MALE_LE119,CI_BIOMASS_MALE_LE119,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE135,CV_BIOMASS_MALE_GE135,CI_BIOMASS_MALE_GE135,BIOMASS_MALE_LE94,CV_BIOMASS_MALE_LE94,CI_BIOMASS_MALE_LE94,BIOMASS_MALE_95TO109,CV_BIOMASS_MALE_95TO109,CI_BIOMASS_MALE_95TO109,BIOMASS_MALE_110TO134,CV_BIOMASS_MALE_110TO134,CI_BIOMASS_MALE_110TO134,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1976,189.9683525,0.325486221,121.1908792,414.9143112,0.368474824,299.6555362,414.9143112,0.368474824,299.6555362,67.08994643,0.554063312,72.85727268,49.1825986,0.707106781,68.16360401,73.69580745,0.707106781,102.1371782,604.8826636,0.320546718,380.0305793,29.68902536,0.707106781,41.14688987,0,0,0,29.68902536,0.707106781,41.14688987
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.71628264,0.707106781,25.93944433,78.90626569,0.707106781,109.3585049,97.62254833,0.582984166,111.5483039
1980,33.8212567,0.707106781,46.87387032,600.8361047,0.395252064,465.4641531,600.8361047,0.395252064,465.4641531,33.8212567,0.707106781,46.87387032,0,0,0,0,0,0,634.6573614,0.373761371,464.9323945,38.36409328,0.491950715,36.99155648,80.14255012,0.707106781,111.0719077,118.5066434,0.496472616,115.3171945
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,624.0279659,0.293935832,359.5113916,1481.570305,0.275888349,801.1460518,940.2457769,0.309435214,570.2525011,15.86105803,0.707106781,21.98230492,397.6701403,0.318810061,248.4912334,751.8212956,0.23538449,346.8554611,2105.598271,0.201356522,830.992853,0,0,0,1116.91547,0.228205261,499.5765325,1116.91547,0.228205261,499.5765325
1983,444.9806443,0.258151299,225.1497696,1330.35391,0.282608645,736.900251,434.5570114,0.493608667,420.4221699,71.99679754,0.451143248,63.66250334,113.6443945,0.493717551,109.9721351,1155.136351,0.29593762,670.0226733,1775.334555,0.237671974,827.0166452,0,0,0,98.5124937,0.707106781,136.5313506,98.5124937,0.707106781,136.5313506
1984,376.5375162,0.500485762,369.3652651,1944.296038,0.260539793,992.8703134,877.3114277,0.409909391,704.8516591,26.40405698,0.707106781,36.59415597,87.99628775,0.493333918,85.08664463,1329.121782,0.252172894,656.9302326,2320.833555,0.226261036,1029.223843,0,0,0,89.97177767,0.707106781,124.6945221,89.97177767,0.707106781,124.6945221
1985,135.5422711,0.492813052,130.9221205,229.3628136,0.707106781,317.8806417,229.3628136,0.707106781,317.8806417,0,0,0,63.15594387,0.707106781,87.52967252,72.38632719,0.707106781,100.3223311,364.9050847,0.472510839,337.9463512,0,0,0,0,0,0,0,0,0
1986,211.9091122,0.381092457,158.2836497,820.3402784,0.406110757,652.9720626,591.5199963,0.505250155,585.776517,10.87706633,0.707106781,15.07484483,116.109147,0.491608037,111.8771721,313.7431809,0.544067019,334.5667415,1032.249391,0.353806494,715.8244141,14.46218308,0.707106781,20.04356314,77.89966011,0.491601172,75.05930581,92.36184319,0.423994107,76.75531927
1987,215.7977378,0.42459465,179.5880674,1056.72057,0.394155501,816.363963,1056.72057,0.394155501,816.363963,45.71699995,0.707106781,63.36052933,60.2444452,0.707106781,83.49454123,109.8362927,0.707106781,152.2253353,1272.518308,0.352399422,878.9320424,0,0,0,106.2120493,0.494639336,102.9718488,106.2120493,0.494639336,102.9718488
1988,253.8965665,0.380592962,189.3972426,825.9549955,0.329866273,534.0112047,349.2141893,0.493402655,337.7142877,42.98456654,0.602079888,50.72508028,33.8032209,0.707106781,46.84887398,653.8495853,0.272137181,348.7560941,1079.851562,0.256265747,542.3887759,76.37930735,0.522658143,78.24372323,280.9355674,0.389881877,214.682105,357.3148748,0.330300618,231.3217951
1989,163.1600645,0.433318331,138.5724836,379.452262,0.397643676,295.7381132,272.8951149,0.492436223,263.3915416,21.16956159,0.707106781,29.33951548,0,0,0,248.54765,0.540243453,263.1814319,542.6123265,0.338238936,359.7239268,53.41418669,0.533001973,55.8009391,358.0459367,0.301171584,211.353193,411.4601234,0.264017465,212.9200114
1990,53.66895391,0.707106781,74.38137525,1091.255013,0.30286905,647.7944443,801.839239,0.380040731,597.2738784,0,0,0,53.66895391,0.707106781,74.38137525,289.4157741,0.394786089,223.9443504,1144.923967,0.295067913,662.1474383,0,0,0,156.0359482,0.520784189,159.2716673,156.0359482,0.520784189,159.2716673
1991,228.3810675,0.518718075,232.19216,713.62616,0.437123419,611.4077051,288.2201197,0.707106781,399.4527062,0,0,0,0,0,0,653.7871078,0.325939897,417.6667933,942.0072275,0.345472583,637.8578327,0,0,0,397.1755139,0.30518099,237.5724168,397.1755139,0.30518099,237.5724168
1992,251.9878876,0.369161712,182.3275885,719.2069504,0.303452812,427.7609284,515.6995821,0.39627957,400.5479691,50.39309545,0.490398154,48.4368547,112.7076171,0.495970258,109.5632668,292.3945433,0.394304877,225.9734852,971.194838,0.244803552,465.9938137,0,0,0,0,0,0,0,0,0
1993,48.34993377,0.707106781,67.00958944,394.6851445,0.415299121,321.2682916,299.6125018,0.509440531,299.164114,0,0,0,48.34993377,0.707106781,67.00958944,95.07264269,0.707106781,131.7639603,443.0350783,0.373626277,324.4379116,17.29300154,0.707106781,23.96687737,0,0,0,17.29300154,0.707106781,23.96687737
1994,169.2788005,0.396171767,131.4444237,1151.845122,0.347989217,785.6261771,1026.055216,0.386238295,776.7515616,0,0,0,169.2788005,0.396171767,131.4444237,125.7899052,0.707106781,174.3359141,1321.123922,0.325754579,843.5098468,0,0,0,58.45816036,0.707106781,81.01887675,58.45816036,0.707106781,81.01887675
1995,285.8354328,0.425189172,238.2068965,628.8891679,0.510997284,629.8668872,628.8891679,0.510997284,629.8668872,167.6566878,0.618168508,203.1345657,118.1787449,0.491741445,113.9022381,0,0,0,914.7246007,0.365946844,656.0915383,179.4599389,0.542387015,190.7800114,316.346591,0.421598121,261.4074114,495.8065298,0.411960189,400.3350011
