"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1976,370152.6880605008351297280426046313813254,0.3798057696656907842012859259912844870265,275548.8081019800279455627882167262955559,164258.7985974014805269619280594626331922,0.3733094791743346707176443552489907903513,120185.9584462278467899931986947857042549,164258.7985974014805269619280594626331922,0.3733094791743346707176443552489907903513,120185.9584462278467899931986947857042549,257295.0219133632141400867427212699661506,0.5394079298785492367236603372504944760198,272022.4712711526992025860194281984449937,54610.4505411510731770115887608392285932,0.7071067811865475244008443621048490392847,75686.2230065489559777668398317899530246,58247.2156059865478126297111225221865808,0.7071067811865475244008443621048490392846,80726.5222348468526141552002957500470884,534411.4866579023156566899706640940145166,0.2980120148449359346884691502081055116131,312151.646034590171499659410169457242204,62402.9174521521904448458686842910275054,0.7071067811865475244008443621048490392848,86486.0311486326866803405886701093832672,0,0,0,62402.9174521521904448458686842910275054,0.7071067811865475244008443621048490392848,86486.0311486326866803405886701093832672
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,81230.7354636399764409109999247643291122,0.7071067811865475244008443621048490392824,112580.055618736381824498638640504577564,81230.7354636399764409109999247643291122,0.7071067811865475244008443621048490392824,112580.055618736381824498638640504577564,0,0,0,0,0,0,0,0,0,81230.7354636399764409109999247643291122,0.7071067811865475244008443621048490392824,112580.055618736381824498638640504577564,81230.7354636399764409109999247643291122,0.7071067811865475244008443621048490392824,112580.055618736381824498638640504577564,81230.7354636399764409109999247643291122,0.7071067811865475244008443621048490392824,112580.055618736381824498638640504577564,162461.4709272799528818219998495286582244,0.4953487361146391078680659491150738599745,157731.1652106604889096468957221032004739
1980,159830.172286346996487184339454891569193,0.4953302490934114179389408476349003765682,155170.6893404286753824603676492242298798,538347.5698925932095774478977570070193792,0.3587961396925743778754876257075740060936,378587.7785850680103225729455143571024385,459748.1330698861895311745582268797792982,0.3249116335711626159021802041740477963144,292779.9332161767837579200861584476890093,159830.172286346996487184339454891569193,0.4953302490934114179389408476349003765682,155170.6893404286753824603676492242298798,0,0,0,78599.436822707020046273339530127240081,0.707106781186547524400844362104849039286,108933.2617585683276588147746929020259397,698177.7421789402060646322372118985885722,0.2933728408931007261040896267414793452816,401459.7198358783888688598564912339935306,146443.7646302746832652175274286577438558,0.4969280344963578530191377995349486300477,142633.1437590605097563654634284043430783,78599.436822707020046273339530127240081,0.707106781186547524400844362104849039286,108933.2617585683276588147746929020259397,225043.2014529817033114908669587849839364,0.4015866959849280554996936670400516761055,177133.7372217320265601328255744484515898
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40457.688952875365589267655673233646266,1,79297.0703476357165549646051195379466816,40457.688952875365589267655673233646266,1,79297.0703476357165549646051195379466816
1982,823392.4873059275159584294027821005549084,0.2630971239680216949977931133036015353023,424599.1028018480693508430474957087839629,717076.8197484779563739339095237405585872,0.2466546720074933165821328509511139168798,346665.8816473049834473455806778574264276,356464.1307017408695874984309226628861706,0.2752193551631741315361381607825638148103,192287.4232534477071338608306781746755357,62944.5164550385032301768223136401935636,0.707106781186547524400844362104849039287,87236.6490707772639001103958899340946568,504139.052721959159048785246896800451093,0.298439547942387613241119497915331804452,294891.8607491122137500005828775136419527,616921.6071756669404659028121727375826688,0.2256894530559147525147642740892057065529,272896.0921996302447527355745966536386418,1540469.3070544054723323633123058411135,0.1721215083918190416781236317177530481472,519689.8854925488505092011979812041462256,0,0,0,970177.4578040340677235518739458937647452,0.2269935428133455922656056660801222088985,431639.075876982276125533364553534662109,970177.4578040340677235518739458937647452,0.2269935428133455922656056660801222088985,431639.075876982276125533364553534662109
1983,679460.3628955993694644807944465613492086,0.2056788910704333012749011647259123581535,273911.2817746948845304288775730196249103,750760.213396030932748742859468651020717,0.2748661086417231602080781849638225140422,404462.7352232255355892476790517076672459,211033.4489025478671882933481299839221004,0.4006399202672883987786971667897255792198,165714.9113184134095866971365282185791688,220565.8951439431288707296438199516953284,0.4018153025151281744400024460499483776645,173708.4336882957554661934875986298149432,246506.694562781903668593871014089609665,0.3438025722560896638303923029087732616859,166109.285911300074977731927810514452399,752114.5376823574024856067909511871428308,0.3105299099598213640563823962033732351154,457765.9569453112285051252004441392694458,1430220.57629163030221322365391521236993,0.1942784997409323740533624204385703857867,544607.7714066773108417094242983814904342,0,0,0,81966.5723487546253457967732382384343734,0.7071067811865475244008443621048490392829,113599.8735113074211391240830489408753828,81966.5723487546253457967732382384343734,0.7071067811865475244008443621048490392829,113599.8735113074211391240830489408753828
1984,419826.097918848967654189212066067415285,0.4233443550178573469590167860758986123212,348352.7769405131201400526467640972234363,1103542.87337484218494706590588828405428,0.2290431738516875462197012523192251338923,495407.5659104021969992778183749301357183,381966.4463719575398664759187015955696236,0.3271664507251310571685709961341014324177,244934.5488489847434217577714294489135951,71661.3712058340424356641460108738696446,0.7071067811865475244008443621048490392865,99317.5933963924331386156043461085267949,117576.6733144400561270293576095326222816,0.4958777585215167364508721400055029976099,114275.1681464590873344307099211546692317,952164.4804014595141720856956323494080108,0.2533875296946771133177005530284755614527,472882.5468818055887995372896239143479296,1523368.97129369115260125511795435146956,0.202683830704670822498157049830065475248,605174.0270097405254874258375251781589288,73285.4033375148482451343881510782218474,0.7071067811865475244008443621048490392856,101568.3870974180632413164463224554151638,80291.9543073353407710559416799234572398,0.7071067811865475244008443621048490392854,111278.971316256995898777148116164265015,153577.3576448501890161903298310016790866,0.4958834084948328125287840088060393359037,149266.6686100542311577482784354682573406
1985,133694.2238725102951855009059274209123244,0.4954345514039347612742620043565501698527,129824.0061459657529339207272322472677822,141128.661389315551621368028356628508972,0.4975861298614479639576341835620785291302,137638.3822891431191893101683691220771714,141128.661389315551621368028356628508972,0.4975861298614479639576341835620785291302,137638.3822891431191893101683691220771714,0,0,0,68068.6298804354980790747364538304438624,0.7071067811865475244008443621048490392831,94338.3079580850608640224579654706137661,65625.593992074797106426169473590468462,0.7071067811865475244008443621048490392861,90952.432961134833123830818930478756405,274822.8852618258468068689342840494212964,0.344608034760767517454091540630555964817,185624.101818828940778271938825322574225,0,0,0,0,0,0,0,0,0
1986,308698.5070093423510565456334700443624968,0.3052348691354097402314795351438923770528,184682.0748430142387319595672987077821243,336438.2516833573302135235999779335438424,0.4202467036941060435273181794861070977591,277118.6498824163258501857082114496054044,195516.9912218654907156111646566101430506,0.5258674221615599144072151009941536191916,201519.3916787484182406746187473738223856,112471.3995564094999752799614116334497916,0.4955990769845923620091557899804978927391,109251.8147423508044656593753779454755887,130876.990297886086378699138028050507398,0.4953663267935835104561715123340076254513,127070.8257335000632459603714429347721238,206271.3776165386042004789693516838060992,0.5287230677194793712927447344985120927368,213758.4536900333059672232404393116781489,645136.7586926996812700692334479779063394,0.2933397189934917401946702300171261925419,370918.7015942856838704380375143366207073,120758.463030420279286555914591442937409,0.4957506870851835702930455051717808864194,117337.538396615921062984858337722191227,121593.0557584136887959352296929357099028,0.4981150397422446395566245089894685260472,118711.9664109070779127583709984070526202,242351.5187888339680824911442843786473122,0.3447430489808881349605041988743501053668,163756.0429643267747929426036081272662882
