SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_95TO109,CV_NUM_MALE_95TO109,CI_NUM_MALE_95TO109,NUM_MALE_110TO134,CV_NUM_MALE_110TO134,CI_NUM_MALE_110TO134,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
1976,370152.6881,0.37253105,270271.0041,164258.7986,0.36580276,117769.1908,164258.7986,0.36580276,117769.1908,257295.0219,0.536418613,270514.9643,54610.45054,0.707106781,75686.22301,58247.21561,0.707106781,80726.52223,534411.4867,0.287202331,300829.0802,62402.91745,0.707106781,86486.03115,0,0,0,62402.91745,0.707106781,86486.03115
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,81230.73546,0.707106781,112580.0556,81230.73546,0.707106781,112580.0556,0,0,0,0,0,0,0,0,0,81230.73546,0.707106781,112580.0556,81230.73546,0.707106781,112580.0556,81230.73546,0.707106781,112580.0556,162461.4709,0.49401176,157305.4393
1980,159830.1723,0.493935067,154733.6245,460237.8492,0.403885788,364331.7118,381638.4124,0.366261256,273967.5538,159830.1723,0.493935067,154733.6245,0,0,0,78599.43682,0.707106781,108933.2618,620068.0215,0.318451048,387024.1699,146443.7646,0.495546021,142236.4647,78599.43682,0.707106781,108933.2618,225043.2015,0.399294315,176122.6029
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40457.68895,1,79297.07035,40457.68895,1,79297.07035
1982,823392.4873,0.258621821,417376.6381,717076.8197,0.241781406,339816.6496,356464.1307,0.271009616,189346.2063,62944.51646,0.707106781,87236.64907,504139.0527,0.294684374,291181.326,616921.6072,0.220231189,266296.1428,1540469.307,0.164548959,496825.9383,0,0,0,970177.4578,0.221574627,421334.7489,970177.4578,0.221574627,421334.7489
1983,679460.3629,0.199815324,266102.5213,750760.2134,0.270825497,398517.0154,211033.4489,0.398432897,164802.0301,220565.8951,0.399620901,172759.774,246506.6946,0.340905901,164709.75,752114.5377,0.307135721,452762.4325,1430220.576,0.187996825,526998.7783,0,0,0,81966.57235,0.707106781,113599.8735,81966.57235,0.707106781,113599.8735
1984,419826.0979,0.421371636,346729.507,1103542.873,0.223910465,484305.8042,381966.4464,0.324031673,242587.6839,71661.37121,0.707106781,99317.5934,117576.6733,0.494544967,113968.0259,952164.4804,0.248880235,464470.8423,1523368.971,0.196714867,587351.8773,73285.40334,0.707106781,101568.3871,80291.95431,0.707106781,111278.9713,153577.3576,0.494550661,148865.4962
1985,133694.2239,0.494098254,129473.842,141128.6614,0.496266809,137273.4422,141128.6614,0.496266809,137273.4422,0,0,0,68068.62988,0.707106781,94338.30796,65625.59399,0.707106781,90952.43296,274822.8853,0.341722406,184069.7495,0,0,0,0,0,0,0,0,0
1986,308698.507,0.301753068,182575.4143,336438.2517,0.418243147,275797.4665,195516.9912,0.524762514,201095.9763,112471.3996,0.494264082,108957.5231,130876.9903,0.49402949,126727.9018,206271.3776,0.527638965,213320.1598,645136.7587,0.289651155,366254.6306,120758.463,0.494416891,117021.8467,121593.0558,0.496799877,118398.5337,242351.5188,0.341859267,162386.2205
1987,215867.3456,0.402470968,170285.4655,547375.7135,0.277799949,298039.4526,365442.2033,0.38180586,273474.8306,71865.27044,0.707106781,99600.18332,59480.53041,0.707106781,82435.80935,266455.055,0.345457086,180415.6222,763243.0591,0.245489733,367241.9358,63123.8563,0.707106781,87485.20142,127586.6347,0.498795336,124733.6518,190710.491,0.400913155,149858.3553
