SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
1976,185076.344,0.460306735,166976.0998,82129.3993,0.44837888,72177.17257,82129.3993,0.44837888,72177.17257,267205.7433,0.298426829,156293.0706,31201.45873,1,61154.8591,0,0,0,31201.45873,1,61154.8591
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,40615.36773,1,79606.12075,40615.36773,1,79606.12075,40615.36773,1,79606.12075,40615.36773,1,79606.12075,40615.36773,1,79606.12075,81230.73546,0.5,79606.12075
1980,79915.08614,0.661553064,103621.4174,269173.7849,0.424408289,223909.5877,229874.0665,0.359112401,161799.2306,349088.8711,0.293085885,200533.5204,73221.88232,0.664193935,95321.71903,39299.71841,1,77027.44809,112521.6007,0.501971502,110705.9685
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40457.68895,0,0,40457.68895,0,0
1982,411696.2437,0.323501985,261041.7219,358538.4099,0.295352361,207554.5254,178232.0654,0.343826321,120110.5158,770234.6535,0.149531048,225741.0298,0,0,0,485088.7289,0.260533512,247708.4657,485088.7289,0.260533512,247708.4657
1983,339730.1814,0.179210994,119331.4318,375380.1067,0.320038641,235466.8326,105516.7245,0.531121872,109842.7908,715110.2881,0.149914348,210122.373,0,0,0,40983.28617,1,80327.2409,40983.28617,1,80327.2409
1984,209913.049,0.57281117,235671.4569,551771.4367,0.250217409,270603.1253,190983.2232,0.420622148,157450.2762,761684.4856,0.196907948,293964.189,36642.70167,1,71819.69527,40145.97715,1,78686.11522,76788.67882,0.683942061,102937.2543
1985,66847.11194,0.577543022,75669.88279,70564.33069,0.582365736,80544.72678,70564.33069,0.582365736,80544.72678,137411.4426,0.042784121,11522.89458,0,0,0,0,0,0,0,0,0
1986,154349.2535,0.335212254,101409.9319,168219.1258,0.542601059,178900.7168,97758.49561,0.715851502,137161.9091,322568.3793,0.311179074,196737.9981,60379.23152,0.667318232,78972.63756,60796.52788,0.671148692,79974.87987,121175.7594,0.410359762,97462.28531
