SURVEY_YEAR,BIOMASS_MALE_LE119,CV_BIOMASS_MALE_LE119,CI_BIOMASS_MALE_LE119,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE135,CV_BIOMASS_MALE_GE135,CI_BIOMASS_MALE_GE135,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1976,94.98417624,0.399175899,74.31417206,207.4571556,0.472211694,192.008842,207.4571556,0.472211694,192.008842,302.4413318,0.390555703,231.5155663,14.84451268,1,29.09524485,0,0,0,14.84451268,1,29.09524485
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,109.8245289,1,215.2560767,109.8245289,1,215.2560767,109.8245289,1,215.2560767,9.358141319,1,18.34195698,39.45313284,1,77.32814038,48.81127416,0.731510775,69.98370707
1980,28.58718765,0.675541553,37.85119297,703.9702958,0.383935252,529.7468657,644.2899679,0.351778184,444.2284236,732.5574834,0.35699548,512.578633,19.18204664,0.662482999,24.9072484,40.07127506,1,78.53969911,59.2533217,0.669779817,77.78589072
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71315194,0,0,23.71315194,0,0
1982,375.1554252,0.321270025,236.2313379,838.3925751,0.323612785,531.7765303,567.7303111,0.362046824,402.8681133,1213.548,0.196253863,466.8004264,0,0,0,586.3634362,0.268867526,309.002009,586.3634362,0.268867526,309.002009
1983,275.9828382,0.237074904,128.2400654,751.3981039,0.308126117,453.7897442,303.4996544,0.536737126,319.2830831,1027.380942,0.21436839,431.6664775,0,0,0,49.25624685,1,96.54224383,49.25624685,1,96.54224383
1984,188.2687581,0.696329174,256.9501766,1082.06746,0.282403094,598.9352303,497.396299,0.494740206,482.3206173,1270.336219,0.232913723,579.9223278,18.71775754,1,36.68680479,44.98588884,1,88.17234212,63.70364638,0.746558915,93.21470928
1985,67.77113553,0.580021588,77.04509448,191.1938075,0.599918993,224.8135609,191.1938075,0.599918993,224.8135609,258.964943,0.300682949,152.6180318,0,0,0,0,0,0,0,0,0
1986,119.4003003,0.420888827,98.4983346,410.1701392,0.528593075,424.9536663,295.7599982,0.688269951,398.98293,529.5704395,0.423504694,439.5801115,32.07282425,0.782265973,49.17537895,38.94983006,0.666674804,50.89506585,71.02265431,0.451033965,62.78591365
