"STATION_ID","DISTRICT","TOWS","SURVEY_YEAR","LATITUDE","LONGITUDE","STRATUM","TOTAL_AREA"
"H-10","North",1,1975,57.33333,-162.15,1,39298
"F-07","West",1,1975,56.66667,-164,4,13634
"G-12","Central",1,1976,57,-160.95,3,9624
"D-10","Central",1,1976,56,-162.23333,3,9624
"K-09","North",1,1979,58.33333,-162.71667,1,54135
"K-14","East",1,1980,58.33333,-159.55,2,7218
"F-12","Central",1,1980,56.66667,-160.98333,3,9624
"J-01","West",1,1980,58,-167.8,4,20050
"D-10","Central",1,1981,56,-162.23333,3,9624
"H-02","West",1,1981,57.33333,-167.11667,4,20050
"G-08","West",1,1981,57,-163.38333,4,20050
"D-09","Central",1,1981,56,-162.81667,3,9624
"H-05","West",1,1982,57.33333,-165.23333,4,20050
"A-06","Outer",1,1983,55,-164.58333,5,10025
"H-07","West",1,1983,57.33333,-164,4,20050
"F-12","Central",1,1983,56.66667,-160.98333,3,9624
"F-13","East",1,1984,56.66667,-160.36667,2,7218
"J-11","Central",1,1984,58,-161.48333,3,9624
"K-01","West",1,1984,58.33333,-167.83333,4,20050
"K-04","North",1,1985,58.33333,-165.91667,1,54135
"D-02","Outer",1,1986,56,-167,5,9624
"H-01","West",1,1986,57.33333,-167.73333,4,20050
"J-07","North",1,1988,58,-164,1,53333
"B-01","Outer",1,1988,55.33333,-167.55,5,9624
"F-08","West",1,1988,56.66667,-163.38333,4,19649
"H-15","East",1,1989,57.33333,-159.06667,2,7218
"C-04","Outer",1,1990,55.66667,-165.8,5,9624
"B-03","Outer",1,1990,55.33333,-166.35,5,9624
"F-03","West",1,1990,56.66667,-166.43333,4,20050
"K-06","North",1,1991,58.33333,-164.63333,1,54135
"B-08","West",1,1991,55.33333,-163.41667,4,20050
"C-09","Central",1,1993,55.66667,-162.83333,3,9624
"J-12","East",1,1993,58,-160.85,2,7218
"J-10","North",1,1994,58,-162.11667,1,54536
"J-08","North",1,1995,58,-163.36667,1,54536
"J-08","North",1,1997,58,-163.36667,1,54536
"E-11","Central",2,1999,56.33333,-161.61667,3,9624
"C-09","Central",1,1995,55.66667,-162.83333,3,9624
"H-09","North",1,2001,57.33333,-162.76667,1,54536
"E-03","Outer",1,2002,56.33333,-166.41667,5,9624
"H-07","West",1,1996,57.33333,-164,4,20050
"G-10","Central",2,2000,57,-162.16667,3,9223
"E-02","Outer",1,1996,56.33333,-167.03333,5,10025
"E-03","Outer",1,1998,56.33333,-166.41667,5,10025
"F-08","West",1,2009,56.66667,-163.38333,4,20050
"K-05","North",1,2005,58.33333,-165.28333,1,54536
"C-04","Outer",1,2009,55.66667,-165.8,5,10025
"H-06","West",1,1994,57.33333,-164.61667,4,20050
"A-04","Outer",1,1994,55,-165.75,5,10025
"G-01","West",1,2014,57,-167.7,4,20050
"K-07","North",1,2011,58.33333,-164,1,54536
"H-13","Central",1,2015,57.33333,-160.3,3,9624
"A-06","Outer",1,2011,55,-164.58333,5,10025
"I-08","North",1,2015,57.66667,-163.36667,1,54536
"D-04","Outer",1,2014,56,-165.78333,5,10025
"G-01","West",1,2012,57,-167.7,4,20050
"I-13","Central",1,1976,57.66667,-160.26667,3,9624
"I-10","North",1,1979,57.66667,-162.13333,1,54135
"K-10","North",1,1982,58.33333,-162.05,1,53333
"J-06","North",1,1982,58,-164.61667,1,53333
"H-02","West",1,1983,57.33333,-167.11667,4,20050
"K-10","North",1,1983,58.33333,-162.05,1,54536
"B-04","Outer",1,1984,55.33333,-165.78333,5,10025
"B-02","Outer",1,1986,55.33333,-166.96667,5,9624
"H-09","North",1,1987,57.33333,-162.76667,1,53734
"K-09","North",1,1988,58.33333,-162.71667,1,53333
"D-06","West",1,1988,56,-164.58333,4,19649
"C-04","Outer",1,1991,55.66667,-165.8,5,9624
"F-05","West",1,1992,56.66667,-165.21667,4,20050
"K-10","North",1,1993,58.33333,-162.05,1,54536
"I-05","West",1,1997,57.66667,-165.25,4,20050
"A-03","Outer",1,2001,55,-166.33333,5,10025
"C-05","Outer",1,2001,55.66667,-165.16667,5,10025
"J-10","North",1,1997,58,-162.11667,1,54536
"H-10","North",1,1997,57.33333,-162.15,1,54536
"J-05","North",1,1999,58,-165.25,1,53734
"C-01","Outer",1,2001,55.66667,-167.58333,5,10025
"J-05","North",1,2002,58,-165.25,1,54135
"D-04","Outer",1,1998,56,-165.78333,5,10025
"J-03","West",1,1994,58,-166.51667,4,20050
"B-06","Outer",1,1996,55.33333,-164.58333,5,10025
"K-01","West",1,1998,58.33333,-167.83333,4,20050
"K-02","West",1,1996,58.33333,-167.18333,4,20050
"G-08","West",2,2007,57,-163.38333,4,20050
"C-03","Outer",1,2005,55.66667,-166.38333,5,10025
"E-04","West",1,2007,56.33333,-165.8,4,20050
"K-02","West",1,2003,58.33333,-167.18333,4,20050
"K-14","East",1,2005,58.33333,-159.55,2,7218
"D-04","Outer",1,2006,56,-165.78333,5,10025
"C-07","West",1,2008,55.66667,-164,4,20050
"J-03","West",1,2004,58,-166.51667,4,20050
